mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Peugeot ,3008 ,I Рестайлинг 2013 – 2016 ,Внедорожник 5 дв. ,2016,1 059 000 ₽,81102,чёрный,178,1639,-,4365,дисковые,J,nan,5,5,6,4,2613,автомат,автомат,150 / 110 при 6050,202,240 при 1400,АИ-95,150 л.с.,1.6 л,432/1241,1598,60,дисковые вентилируемые,2020,передний,9.5 с,9.5,nan,"переднее, поперечное",рядное,7.7 л,11/5.6/7.7,непосредственный впрыск (прямой),1474,nan,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1837,1532,1532,Euro 5,nan,nan
Peugeot ,3008 ,I Рестайлинг 2013 – 2016 ,Внедорожник 5 дв. ,2014,820 000 ₽,70000,белый,178,1639,-,4365,дисковые,J,nan,5,5,6,4,2613,автомат,автомат,150 / 110 при 6050,202,240 при 1400,АИ-95,150 л.с.,1.6 л,432/1241,1598,60,дисковые вентилируемые,2020,передний,9.5 с,9.5,nan,"переднее, поперечное",рядное,7.7 л,11/5.6/7.7,непосредственный впрыск (прямой),1474,nan,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1837,1532,1532,Euro 5,nan,nan
Peugeot ,3008 ,I Рестайлинг 2013 – 2016 ,Внедорожник 5 дв. ,2016,905 000 ₽,72800,чёрный,178,1639,-,4365,дисковые,J,nan,5,5,6,4,2613,автомат,автомат,150 / 110 при 6050,202,240 при 1400,АИ-95,150 л.с.,1.6 л,432/1241,1598,60,дисковые вентилируемые,2020,передний,9.5 с,9.5,nan,"переднее, поперечное",рядное,7.7 л,11/5.6/7.7,непосредственный впрыск (прямой),1474,nan,Франция,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1837,1532,1532,Euro 5,nan,nan
DW Hower ,H3 ,I 2017 – 2019 ,Внедорожник 5 дв. ,2017,1 000 000 ₽,26000,белый,nan,1745,-,4650,дисковые вентилируемые,J,240,5,5,6,4,2700,механика,механика,149 / 110 при 4200,160,250 при 2400 – 4200,АИ-92,149 л.с.,2.0 л,420/2020,1997,74,дисковые вентилируемые,2305,полный,14 с,14,235/65/R17,"переднее, продольное",рядное,8.7 л,10.6/7.4/8.7,распределенный впрыск (многоточечный),1905,nan,Россия,бензин,"зависимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-92,4,1800,1520,1515,Euro 4,nan,nan
DW Hower ,H3 ,I 2017 – 2019 ,Внедорожник 5 дв. ,2017,950 000 ₽,87000,серебристый,nan,1745,-,4650,дисковые вентилируемые,J,240,5,5,6,4,2700,механика,механика,149 / 110 при 4200,160,250 при 2400 – 4200,АИ-92,149 л.с.,2.0 л,420/2020,1997,74,дисковые вентилируемые,2305,полный,14 с,14,235/65/R17,"переднее, продольное",рядное,8.7 л,10.6/7.4/8.7,распределенный впрыск (многоточечный),1905,nan,Россия,бензин,"зависимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-92,4,1800,1520,1515,Euro 4,nan,nan
DW Hower ,H3 ,I 2017 – 2019 ,Внедорожник 5 дв. ,2018,1 325 000 ₽,25000,чёрный,nan,1745,-,4650,дисковые вентилируемые,J,240,5,5,6,4,2700,механика,механика,149 / 110 при 4200,160,250 при 2400 – 4200,АИ-92,149 л.с.,2.0 л,420/2020,1997,74,дисковые вентилируемые,2305,полный,14 с,14,235/65/R17,"переднее, продольное",рядное,8.7 л,10.6/7.4/8.7,распределенный впрыск (многоточечный),1905,nan,Россия,бензин,"зависимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-92,4,1800,1520,1515,Euro 4,nan,nan
DW Hower ,H3 ,I 2017 – 2019 ,Внедорожник 5 дв. ,2017,906 359 ₽,63000,чёрный,nan,1745,-,4650,дисковые вентилируемые,J,240,5,5,6,4,2700,механика,механика,149 / 110 при 4200,160,250 при 2400 – 4200,АИ-92,149 л.с.,2.0 л,420/2020,1997,74,дисковые вентилируемые,2305,полный,14 с,14,235/65/R17,"переднее, продольное",рядное,8.7 л,10.6/7.4/8.7,распределенный впрыск (многоточечный),1905,nan,Россия,бензин,"зависимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-92,4,1800,1520,1515,Euro 4,nan,nan
DW Hower ,H3 ,I 2017 – 2019 ,Внедорожник 5 дв. ,2018,975 000 ₽,71000,чёрный,nan,1745,-,4650,дисковые вентилируемые,J,240,5,5,6,4,2700,механика,механика,149 / 110 при 4200,160,250 при 2400 – 4200,АИ-92,149 л.с.,2.0 л,420/2020,1997,74,дисковые вентилируемые,2305,полный,14 с,14,235/65/R17,"переднее, продольное",рядное,8.7 л,10.6/7.4/8.7,распределенный впрыск (многоточечный),1905,nan,Россия,бензин,"зависимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-92,4,1800,1520,1515,Euro 4,nan,nan
MINI ,Hatch ,II (R56) 2006 – 2010 ,Хэтчбек 3 дв. ,2007,525 000 ₽,153000,зелёный,139,1407,77 × 85.8,3699,дисковые,B,139,3,4,6,4,2467,автомат,автомат,120 / 88 при 6000,197,160 при 4250,АИ-95,120 л.с.,1.6 л,160/680,1598,40,дисковые,1555,передний,10.4 с,10.4,175/65/R15,"переднее, поперечное",рядное,6.4 л,8.7/5.1/6.4,распределенный впрыск (многоточечный),1180,11,Великобритания,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1683,1467,1459,nan,5 / 5,EuroNCAP
MINI ,Hatch ,II (R56) 2006 – 2010 ,Хэтчбек 3 дв. ,2009,645 000 ₽,109334,красный,139,1407,77 × 85.8,3699,дисковые,B,139,3,4,6,4,2467,автомат,автомат,120 / 88 при 6000,197,160 при 4250,АИ-95,120 л.с.,1.6 л,160/680,1598,40,дисковые,1555,передний,10.4 с,10.4,175/65/R15,"переднее, поперечное",рядное,6.4 л,8.7/5.1/6.4,распределенный впрыск (многоточечный),1180,11,Великобритания,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1683,1467,1459,nan,5 / 5,EuroNCAP
