mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Nissan ,Patrol ,V (Y61) Рестайлинг 2004 – н.в. ,Внедорожник 5 дв. ,2005,800 000 ₽,315000,серый,nan,1840,96 × 102,5045,дисковые,J,220,5,"5, 7",4,4,2970,автомат,автомат,160 / 118 при 3600,160,354 при 2000,ДТ,160 л.с.,3.0 л,668/2287,2953,95,дисковые,3200,полный,16.3 с,16.3,275/65/R17,"переднее, продольное",рядное,10.8 л,13.9/9.1/10.8,nan,2465,17.9,Япония,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1840,1575,1555,nan,nan,nan
Nissan ,Patrol ,V (Y61) Рестайлинг 2004 – н.в. ,Внедорожник 5 дв. ,2008,1 129 000 ₽,231800,серый,nan,1840,96 × 102,5045,дисковые,J,220,5,"5, 7",4,4,2970,автомат,автомат,160 / 118 при 3600,160,354 при 2000,ДТ,160 л.с.,3.0 л,668/2287,2953,95,дисковые,3200,полный,16.3 с,16.3,275/65/R17,"переднее, продольное",рядное,10.8 л,13.9/9.1/10.8,nan,2465,17.9,Япония,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1840,1575,1555,nan,nan,nan
Nissan ,Patrol ,V (Y61) Рестайлинг 2004 – н.в. ,Внедорожник 5 дв. ,2008,1 149 000 ₽,168502,чёрный,nan,1840,96 × 102,5045,дисковые,J,220,5,"5, 7",4,4,2970,автомат,автомат,160 / 118 при 3600,160,354 при 2000,ДТ,160 л.с.,3.0 л,668/2287,2953,95,дисковые,3200,полный,16.3 с,16.3,275/65/R17,"переднее, продольное",рядное,10.8 л,13.9/9.1/10.8,nan,2465,17.9,Япония,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1840,1575,1555,nan,nan,nan
Nissan ,Patrol ,V (Y61) Рестайлинг 2004 – н.в. ,Внедорожник 5 дв. ,2008,1 087 000 ₽,187846,чёрный,nan,1840,96 × 102,5045,дисковые,J,220,5,"5, 7",4,4,2970,автомат,автомат,160 / 118 при 3600,160,354 при 2000,ДТ,160 л.с.,3.0 л,668/2287,2953,95,дисковые,3200,полный,16.3 с,16.3,275/65/R17,"переднее, продольное",рядное,10.8 л,13.9/9.1/10.8,nan,2465,17.9,Япония,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1840,1575,1555,nan,nan,nan
Nissan ,Patrol ,V (Y61) Рестайлинг 2004 – н.в. ,Внедорожник 5 дв. ,2007,1 035 000 ₽,260907,серый,nan,1840,96 × 102,5045,дисковые,J,220,5,"5, 7",4,4,2970,автомат,автомат,160 / 118 при 3600,160,354 при 2000,ДТ,160 л.с.,3.0 л,668/2287,2953,95,дисковые,3200,полный,16.3 с,16.3,275/65/R17,"переднее, продольное",рядное,10.8 л,13.9/9.1/10.8,nan,2465,17.9,Япония,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1840,1575,1555,nan,nan,nan
Nissan ,Patrol ,V (Y61) Рестайлинг 2004 – н.в. ,Внедорожник 5 дв. ,2008,1 299 000 ₽,135500,чёрный,nan,1840,96 × 102,5045,дисковые,J,220,5,"5, 7",4,4,2970,автомат,автомат,160 / 118 при 3600,160,354 при 2000,ДТ,160 л.с.,3.0 л,668/2287,2953,95,дисковые,3200,полный,16.3 с,16.3,275/65/R17,"переднее, продольное",рядное,10.8 л,13.9/9.1/10.8,nan,2465,17.9,Япония,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1840,1575,1555,nan,nan,nan
Nissan ,Patrol ,V (Y61) Рестайлинг 2004 – н.в. ,Внедорожник 5 дв. ,2006,1 290 000 ₽,35000,серебристый,nan,1840,96 × 102,5045,дисковые,J,220,5,"5, 7",4,4,2970,автомат,автомат,160 / 118 при 3600,160,354 при 2000,ДТ,160 л.с.,3.0 л,668/2287,2953,95,дисковые,3200,полный,16.3 с,16.3,275/65/R17,"переднее, продольное",рядное,10.8 л,13.9/9.1/10.8,nan,2465,17.9,Япония,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1840,1575,1555,nan,nan,nan
Nissan ,Patrol ,V (Y61) Рестайлинг 2004 – н.в. ,Внедорожник 5 дв. ,2007,899 999 ₽,205437,серебристый,nan,1840,96 × 102,5045,дисковые,J,220,5,"5, 7",4,4,2970,автомат,автомат,160 / 118 при 3600,160,354 при 2000,ДТ,160 л.с.,3.0 л,668/2287,2953,95,дисковые,3200,полный,16.3 с,16.3,275/65/R17,"переднее, продольное",рядное,10.8 л,13.9/9.1/10.8,nan,2465,17.9,Япония,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1840,1575,1555,nan,nan,nan
Nissan ,Patrol ,V (Y61) Рестайлинг 2004 – н.в. ,Внедорожник 5 дв. ,2009,1 150 000 ₽,300000,чёрный,nan,1840,96 × 102,5045,дисковые,J,220,5,"5, 7",4,4,2970,автомат,автомат,160 / 118 при 3600,160,354 при 2000,ДТ,160 л.с.,3.0 л,668/2287,2953,95,дисковые,3200,полный,16.3 с,16.3,275/65/R17,"переднее, продольное",рядное,10.8 л,13.9/9.1/10.8,nan,2465,17.9,Япония,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1840,1575,1555,nan,nan,nan
Nissan ,Patrol ,V (Y61) Рестайлинг 2004 – н.в. ,Внедорожник 5 дв. ,2007,1 000 000 ₽,243000,серый,nan,1840,96 × 102,5045,дисковые,J,220,5,"5, 7",4,4,2970,автомат,автомат,160 / 118 при 3600,160,354 при 2000,ДТ,160 л.с.,3.0 л,668/2287,2953,95,дисковые,3200,полный,16.3 с,16.3,275/65/R17,"переднее, продольное",рядное,10.8 л,13.9/9.1/10.8,nan,2465,17.9,Япония,дизель,"зависимая, пружинная",турбонаддув,"зависимая, пружинная",полный,ДТ,4,1840,1575,1555,nan,nan,nan
