mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Dodge ,Challenger ,III Рестайлинг 2 2014 – н.в. ,Купе ,2016,4 444 000 ₽,5450,белый,nan,1450,103.9 × 94.5,5022,дисковые вентилируемые,D,122,2,5,8,8,2946,автомат,автомат,492 / 362 при 6000,286,644 при 4200,АИ-95,492 л.с.,6.4 л,459,6410,72,дисковые вентилируемые,2472,задний,4.6 с,4.6,235/55/R18,"переднее, продольное",V-образное,13.1 л,15.7/9.4/13.1,непосредственный впрыск (прямой),1887,10.9,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,2,1923,1603,1610,nan,nan,nan
Dodge ,Challenger ,III Рестайлинг 2 2014 – н.в. ,Купе ,2020,10 283 592 ₽,30,зелёный,nan,1450,103.9 × 90.9,5022,дисковые вентилируемые,D,122,2,5,8,8,2946,автомат,автомат,717 / 527 при 6000,317,881 при 4000,АИ-95,717 л.с.,6.2 л,459,6166,72,дисковые вентилируемые,2472,задний,3.8 с,3.8,275/40/R20,"переднее, продольное",V-образное,14.7 л,18.1/10.7/14.7,непосредственный впрыск (прямой),1887,9.5,США,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,АИ-95,2,1923,1603,1610,nan,nan,nan
Toyota ,Supra ,IV (A80) 1993 – 1996 ,Купе ,1993,1 100 000 ₽,222222,серый,nan,1270,86 × 86,4520,дисковые вентилируемые,S,140,2,4,4,6,2550,автомат,автомат,225 / 165 при 6000,nan,284 при 4800,АИ-95,225 л.с.,3.0 л,185/315,2997,70,дисковые вентилируемые,nan,задний,nan,nan,225/50/R16,nan,рядное,nan,nan,распределенный впрыск (многоточечный),nan,10,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1810,1525,1520,nan,nan,nan
Toyota ,Supra ,IV (A80) 1993 – 1996 ,Купе ,1993,6 000 000 ₽,101000,оранжевый,nan,1270,86 × 86,4520,дисковые вентилируемые,S,140,2,4,6,6,2550,механика,механика,324 / 238 при 5600,250,427 при 4000,АИ-95,324 л.с.,3.0 л,185/315,2997,70,дисковые вентилируемые,1790,задний,5.1 с,5.1,225/50/R16  245/50/R16,nan,рядное,11.1 л,nan,распределенный впрыск (многоточечный),1570,8.5,Япония,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1810,1525,1520,nan,nan,nan
Toyota ,Vellfire ,I 2008 – 2015 ,Минивэн ,2013,2 500 000 ₽,138000,белый,nan,1890,94 × 83,4850,дисковые,M,160,5,"6, 7",6,6,2950,автомат,автомат,280 / 206 при 6200,nan,344 при 4700,АИ-95,280 л.с.,3.5 л,-,3456,65,дисковые вентилируемые,nan,передний,nan,nan,215/60/R17,"переднее, поперечное",V-образное,nan,nan,распределенный впрыск (многоточечный),2390,10.8,Япония,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-95,4,1830,1585,1580,nan,nan,nan
Toyota ,Vellfire ,I 2008 – 2015 ,Минивэн ,2010,1 300 000 ₽,150000,белый,nan,1890,88.5 × 96,4850,дисковые,M,160,5,"6, 7",nan,4,2950,вариатор,вариатор,170 / 125 при 6000,nan,224 при 4000,АИ-95,170 л.с.,2.4 л,-,2362,65,дисковые вентилируемые,nan,передний,nan,nan,215/60/R17,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),2330,9.8,Япония,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-95,4,1830,1585,1580,nan,nan,nan
Skoda ,Fabia ,I 1999 – 2004 ,Хэтчбек 5 дв. ,2001,169 000 ₽,270532,белый,nan,1451,75 × 78,3970,барабанные,B,140,5,5,5,4,2462,механика,механика,68 / 50 при 5000,162,120 при 2500,АИ-95,68 л.с.,1.4 л,260/1016,1397,45,дисковые вентилируемые,1550,передний,15 с,15,165/70/R14  185/60/R14,"переднее, поперечное",рядное,6.9 л,9.4/5.5/6.9,распределенный впрыск (многоточечный),1065,10.5,Чехия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1646,1424,1435,nan,4 / 5,EuroNCAP
Skoda ,Fabia ,I 1999 – 2004 ,Хэтчбек 5 дв. ,2001,105 000 ₽,175000,серый,nan,1451,75 × 78,3970,барабанные,B,140,5,5,5,4,2462,механика,механика,68 / 50 при 5000,162,120 при 2500,АИ-95,68 л.с.,1.4 л,260/1016,1397,45,дисковые вентилируемые,1550,передний,15 с,15,165/70/R14  185/60/R14,"переднее, поперечное",рядное,6.9 л,9.4/5.5/6.9,распределенный впрыск (многоточечный),1065,10.5,Чехия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1646,1424,1435,nan,4 / 5,EuroNCAP
Skoda ,Fabia ,I 1999 – 2004 ,Хэтчбек 5 дв. ,2002,200 000 ₽,156000,серебристый,nan,1451,76.5 × 75.6,3970,барабанные,B,140,5,5,4,4,2462,автомат,автомат,75 / 55 при 5000,166,126 при 3800,АИ-95,75 л.с.,1.4 л,260/1016,1390,45,дисковые вентилируемые,1610,передний,17 с,17,165/70/R14,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),1095,10.5,Чехия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1646,1424,1435,nan,4 / 5,EuroNCAP
Skoda ,Fabia ,I 1999 – 2004 ,Хэтчбек 5 дв. ,2003,250 000 ₽,175000,серебристый,nan,1451,76.5 × 75.6,3970,барабанные,B,140,5,5,4,4,2462,автомат,автомат,75 / 55 при 5000,166,126 при 3800,АИ-95,75 л.с.,1.4 л,260/1016,1390,45,дисковые вентилируемые,1610,передний,17 с,17,165/70/R14,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),1095,10.5,Чехия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1646,1424,1435,nan,4 / 5,EuroNCAP
