mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Cadillac ,SRX ,I 2003 – 2009 ,Внедорожник 5 дв. ,2008,559 000 ₽,157764,серебристый,nan,1721,94 × 85.6,4950,дисковые вентилируемые,J,208,5,"5, 7",5,6,2957,автомат,автомат,255 / 190 при 6500,201,346 при 3200,АИ-92,255 л.с.,3.6 л,827/1968,3564,76,дисковые вентилируемые,nan,полный,8.1 с,8.1,235/65/R17  255/60/R17,"переднее, продольное",V-образное,14 л,19.1/11/14,распределенный впрыск (многоточечный),1960,10.2,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1845,1568,1566,nan,nan,nan
Cadillac ,SRX ,I 2003 – 2009 ,Внедорожник 5 дв. ,2009,530 000 ₽,174000,чёрный,nan,1721,94 × 85.6,4950,дисковые вентилируемые,J,208,5,"5, 7",5,6,2957,автомат,автомат,255 / 190 при 6500,201,346 при 3200,АИ-92,255 л.с.,3.6 л,827/1968,3564,76,дисковые вентилируемые,nan,полный,8.1 с,8.1,235/65/R17  255/60/R17,"переднее, продольное",V-образное,14 л,19.1/11/14,распределенный впрыск (многоточечный),1960,10.2,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1845,1568,1566,nan,nan,nan
Cadillac ,SRX ,I 2003 – 2009 ,Внедорожник 5 дв. ,2006,260 000 ₽,112000,серый,nan,1721,93 × 84,4950,дисковые,J,208,5,"5, 7",6,8,2957,автомат,автомат,324 / 239 при 6400,225,425 при 4400,АИ-95,324 л.с.,4.6 л,827/1968,4565,76,дисковые вентилируемые,2675,полный,7.4 с,7.4,235/60/R18  255/55/R18,"переднее, продольное",V-образное,13.1 л,14.7/11.8/13.1,распределенный впрыск (многоточечный),2051,10.5,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1845,1568,1566,nan,nan,nan
Cadillac ,SRX ,I 2003 – 2009 ,Внедорожник 5 дв. ,2009,500 000 ₽,184000,чёрный,nan,1721,94 × 85.6,4950,дисковые вентилируемые,J,208,5,"5, 7",5,6,2957,автомат,автомат,255 / 190 при 6500,201,346 при 3200,АИ-92,255 л.с.,3.6 л,827/1968,3564,76,дисковые вентилируемые,nan,полный,8.1 с,8.1,235/65/R17  255/60/R17,"переднее, продольное",V-образное,14 л,19.1/11/14,распределенный впрыск (многоточечный),1960,10.2,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1845,1568,1566,nan,nan,nan
Cadillac ,SRX ,I 2003 – 2009 ,Внедорожник 5 дв. ,2009,650 000 ₽,94000,чёрный,nan,1721,93 × 84,4950,дисковые,J,208,5,"5, 7",6,8,2957,автомат,автомат,324 / 239 при 6400,225,425 при 4400,АИ-95,324 л.с.,4.6 л,827/1968,4565,76,дисковые вентилируемые,2675,полный,7.4 с,7.4,235/60/R18  255/55/R18,"переднее, продольное",V-образное,13.1 л,14.7/11.8/13.1,распределенный впрыск (многоточечный),2051,10.5,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1845,1568,1566,nan,nan,nan
Cadillac ,SRX ,I 2003 – 2009 ,Внедорожник 5 дв. ,2004,395 000 ₽,272000,бежевый,nan,1721,93 × 84,4950,дисковые вентилируемые,J,208,5,"5, 7",5,8,2957,автомат,автомат,324 / 238 при 6400,225,420 при 4400,АИ-92,324 л.с.,4.6 л,827/1968,4565,76,дисковые вентилируемые,nan,полный,7.4 с,7.4,235/60/R18  255/55/R18,"переднее, продольное",V-образное,16.7 л,23.3/12.8/16.7,распределенный впрыск (многоточечный),2045,10.5,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1845,1568,1566,nan,nan,nan
Cadillac ,SRX ,I 2003 – 2009 ,Внедорожник 5 дв. ,2008,650 000 ₽,167000,синий,nan,1721,94 × 85.6,4950,дисковые вентилируемые,J,208,5,"5, 7",5,6,2957,автомат,автомат,255 / 190 при 6500,201,346 при 3200,АИ-92,255 л.с.,3.6 л,827/1968,3564,76,дисковые вентилируемые,nan,полный,8.1 с,8.1,235/65/R17  255/60/R17,"переднее, продольное",V-образное,14 л,19.1/11/14,распределенный впрыск (многоточечный),1960,10.2,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1845,1568,1566,nan,nan,nan
Cadillac ,SRX ,I 2003 – 2009 ,Внедорожник 5 дв. ,2004,500 000 ₽,229000,синий,nan,1721,94 × 85.6,4950,дисковые вентилируемые,J,208,5,"5, 7",5,6,2957,автомат,автомат,255 / 190 при 6500,201,346 при 3200,АИ-92,255 л.с.,3.6 л,827/1968,3564,76,дисковые вентилируемые,nan,полный,8.1 с,8.1,235/65/R17  255/60/R17,"переднее, продольное",V-образное,14 л,19.1/11/14,распределенный впрыск (многоточечный),1960,10.2,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1845,1568,1566,nan,nan,nan
Cadillac ,SRX ,I 2003 – 2009 ,Внедорожник 5 дв. ,2004,240 000 ₽,191000,чёрный,nan,1721,93 × 84,4950,дисковые вентилируемые,J,208,5,"5, 7",5,8,2957,автомат,автомат,324 / 238 при 6400,225,420 при 4400,АИ-92,324 л.с.,4.6 л,827/1968,4565,76,дисковые вентилируемые,nan,полный,7.4 с,7.4,235/60/R18  255/55/R18,"переднее, продольное",V-образное,16.7 л,23.3/12.8/16.7,распределенный впрыск (многоточечный),2045,10.5,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-92,4,1845,1568,1566,nan,nan,nan
Cadillac ,SRX ,I 2003 – 2009 ,Внедорожник 5 дв. ,2009,550 000 ₽,169780,чёрный,nan,1721,93 × 84,4950,дисковые,J,208,5,"5, 7",6,8,2957,автомат,автомат,324 / 239 при 6400,225,425 при 4400,АИ-95,324 л.с.,4.6 л,827/1968,4565,76,дисковые вентилируемые,2675,полный,7.4 с,7.4,235/60/R18  255/55/R18,"переднее, продольное",V-образное,13.1 л,14.7/11.8/13.1,распределенный впрыск (многоточечный),2051,10.5,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1845,1568,1566,nan,nan,nan
