mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Opel ,Corsa ,D Рестайлинг I 2010 – 2011 ,Хэтчбек 3 дв. ,2010,340 000 ₽,136800,синий,123,1488,73.4 × 72.6,3999,барабанные,B,140,3,5,5,4,2511,робот,робот,86 / 63 при 5600,172,115 при 4000,АИ-95,86 л.с.,1.2 л,285/1100,1229,42,дисковые вентилируемые,1555,передний,14.9 с,14.9,185/65/R15  185/70/R14,"переднее, поперечное",рядное,5.1 л,6.5/4.2/5.1,распределенный впрыск (многоточечный),1055,10.5,Германия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1737,1478,1485,Euro 5,nan,nan
Opel ,Corsa ,D Рестайлинг I 2010 – 2011 ,Хэтчбек 3 дв. ,2010,450 000 ₽,92563,красный,nan,1488,73.4 × 82.6,3999,барабанные,B,140,3,5,4,4,2511,автомат,автомат,100 / 74 при 6000,172,130 при 4000,АИ-95,100 л.с.,1.4 л,285/1100,1398,42,дисковые вентилируемые,1665,передний,13.9 с,13.9,185/65/R15,"переднее, поперечное",рядное,5.7 л,7.5/4.7/5.7,распределенный впрыск (многоточечный),1100,10.5,Германия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1737,1478,1485,Euro 5,nan,nan
Opel ,Corsa ,D Рестайлинг I 2010 – 2011 ,Хэтчбек 3 дв. ,2011,469 000 ₽,102122,оранжевый,nan,1488,73.4 × 82.6,3999,барабанные,B,140,3,5,5,4,2511,механика,механика,100 / 74 при 6000,180,130 при 4000,АИ-95,100 л.с.,1.4 л,285/1100,1398,42,дисковые вентилируемые,1665,передний,11.9 с,11.9,185/65/R15,"переднее, поперечное",рядное,5.5 л,7/4.6/5.5,распределенный впрыск (многоточечный),1163,10.5,Германия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1737,1478,1485,Euro 5,nan,nan
Opel ,Corsa ,D Рестайлинг I 2010 – 2011 ,Хэтчбек 3 дв. ,2011,370 000 ₽,120217,серый,123,1488,73.4 × 72.6,3999,барабанные,B,140,3,5,5,4,2511,робот,робот,86 / 63 при 5600,172,115 при 4000,АИ-95,86 л.с.,1.2 л,285/1100,1229,42,дисковые вентилируемые,1555,передний,14.9 с,14.9,185/65/R15  185/70/R14,"переднее, поперечное",рядное,5.1 л,6.5/4.2/5.1,распределенный впрыск (многоточечный),1055,10.5,Германия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1737,1478,1485,Euro 5,nan,nan
Opel ,Corsa ,D Рестайлинг I 2010 – 2011 ,Хэтчбек 3 дв. ,2010,295 000 ₽,111465,чёрный,nan,1488,73.4 × 78.6,3999,барабанные,B,140,3,5,5,4,2511,механика,механика,85 / 63 при 5600,168,115 при 4000,АИ-95,85 л.с.,1.2 л,285/1100,1229,42,дисковые вентилируемые,1565,передний,13.9 с,13.9,185/65/R15,"переднее, поперечное",рядное,5.1 л,6.5/4.2/5.1,распределенный впрыск (многоточечный),1145,10.5,Германия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1737,1478,1485,Euro 5,nan,nan
Opel ,Corsa ,D Рестайлинг I 2010 – 2011 ,Хэтчбек 3 дв. ,2010,350 000 ₽,98000,чёрный,123,1488,73.4 × 72.6,3999,барабанные,B,140,3,5,5,4,2511,робот,робот,86 / 63 при 5600,172,115 при 4000,АИ-95,86 л.с.,1.2 л,285/1100,1229,42,дисковые вентилируемые,1555,передний,14.9 с,14.9,185/65/R15  185/70/R14,"переднее, поперечное",рядное,5.1 л,6.5/4.2/5.1,распределенный впрыск (многоточечный),1055,10.5,Германия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1737,1478,1485,Euro 5,nan,nan
Opel ,Corsa ,D Рестайлинг I 2010 – 2011 ,Хэтчбек 3 дв. ,2010,385 000 ₽,180000,серебристый,nan,1488,73.4 × 78.6,3999,барабанные,B,140,3,5,5,4,2511,механика,механика,85 / 63 при 5600,168,115 при 4000,АИ-95,85 л.с.,1.2 л,285/1100,1229,42,дисковые вентилируемые,1565,передний,13.9 с,13.9,185/65/R15,"переднее, поперечное",рядное,5.1 л,6.5/4.2/5.1,распределенный впрыск (многоточечный),1145,10.5,Германия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1737,1478,1485,Euro 5,nan,nan
Mercedes-Benz ,S-Класс ,IV (W220) Рестайлинг 2002 – 2005 ,Седан ,2004,650 000 ₽,263862,чёрный,nan,1448,89.9 × 84,5042,дисковые вентилируемые,F,150,4,5,5,8,2965,автомат,автомат,279 / 205 при 5750,250,400 при 3000 – 4000,АИ-95,279 л.с.,4.3 л,500,4266,88,дисковые вентилируемые,2400,задний,7.1 с,7.1,225/60/R16,"переднее, продольное",V-образное,11.5 л,17.1/8.3/11.5,распределенный впрыск (многоточечный),1805,10,Германия,бензин,"независимая, пневмоэлемент",нет,"независимая, пневмоэлемент",задний,АИ-95,3,1855,1575,1575,nan,nan,nan
Mercedes-Benz ,S-Класс ,IV (W220) Рестайлинг 2002 – 2005 ,Седан ,2004,400 000 ₽,198000,серый,nan,1448,89.9 × 84,5042,дисковые вентилируемые,F,150,4,5,5,8,2965,автомат,автомат,279 / 205 при 5750,250,400 при 3000 – 4000,АИ-95,279 л.с.,4.3 л,500,4266,88,дисковые вентилируемые,2505,полный,7.4 с,7.4,225/55/R17,"переднее, продольное",V-образное,12.5 л,18.3/9.2/12.5,распределенный впрыск (многоточечный),1910,10,Германия,бензин,"независимая, пневмоэлемент",нет,"независимая, пневмоэлемент",полный,АИ-95,3,1855,1575,1575,nan,nan,nan
Mercedes-Benz ,S-Класс ,IV (W220) Рестайлинг 2002 – 2005 ,Седан ,2004,700 000 ₽,280000,чёрный,nan,1448,97 × 84,5042,дисковые вентилируемые,F,150,4,5,5,8,2965,автомат,автомат,306 / 225 при 5600,250,460 при 2700 – 4250,АИ-95,306 л.с.,5.0 л,500,4966,88,дисковые вентилируемые,2505,полный,6.3 с,6.3,225/55/R17,"переднее, продольное",V-образное,12.9 л,18.6/9.6/12.9,распределенный впрыск (многоточечный),1910,10,Германия,бензин,"независимая, пневмоэлемент",нет,"независимая, пневмоэлемент",полный,АИ-95,3,1855,1575,1575,nan,nan,nan
