mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Mercedes-Benz ,E-Класс ,"IV (W212, S212, C207) Рестайлинг 2013 – 2016 ",Универсал 5 дв. ,2015,1 448 000 ₽,159890,чёрный,145,1474,83 × 92,4905,дисковые,E,150,5,5,7,4,2874,автомат,автомат,184 / 135 при 5500,225,270 при 1200 – 4000,АИ-95,184 л.с.,2.0 л,695/1950,1991,59,дисковые вентилируемые,2330,задний,8.3 с,8.3,225/55/R16,"переднее, продольное",рядное,6.2 л,7.8/5.3/6.2,непосредственный впрыск (прямой),1735,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1854,1604,1598,Euro 6,nan,nan
Mercedes-Benz ,E-Класс ,"IV (W212, S212, C207) Рестайлинг 2013 – 2016 ",Универсал 5 дв. ,2015,1 880 000 ₽,125000,чёрный,145,1474,83 × 92,4905,дисковые,E,150,5,5,7,4,2874,автомат,автомат,184 / 135 при 5500,225,270 при 1200 – 4000,АИ-95,184 л.с.,2.0 л,695/1950,1991,59,дисковые вентилируемые,2330,задний,8.3 с,8.3,225/55/R16,"переднее, продольное",рядное,6.2 л,7.8/5.3/6.2,непосредственный впрыск (прямой),1735,9.8,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1854,1604,1598,Euro 6,nan,nan
Ravon ,Nexia R3 ,2015 – н.в. ,Седан ,2017,510 000 ₽,46600,серебристый,nan,1505,-,4330,nan,B,160,4,5,6,4,2480,автомат,автомат,107 / 79 при 5800,nan,141 при 3800,АИ-92,107 л.с.,1.5 л,220,1485,45,дисковые вентилируемые,nan,передний,11.9 с,11.9,nan,nan,рядное,nan,nan,распределенный впрыск (многоточечный),1168,nan,Узбекистан,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-92,4,1690,1444,1454,Euro 5,nan,nan
Ravon ,Nexia R3 ,2015 – н.в. ,Седан ,2017,445 000 ₽,93000,синий,nan,1505,-,4330,nan,B,160,4,5,5,4,2480,механика,механика,107 / 79 при 5800,nan,141 при 3800,АИ-92,107 л.с.,1.5 л,220,1485,45,дисковые вентилируемые,nan,передний,11.9 с,11.9,nan,nan,рядное,nan,nan,распределенный впрыск (многоточечный),1146,nan,Узбекистан,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-92,4,1690,1444,1454,Euro 5,nan,nan
Ravon ,Nexia R3 ,2015 – н.в. ,Седан ,2017,350 000 ₽,63000,серебристый,nan,1505,-,4330,nan,B,160,4,5,5,4,2480,механика,механика,107 / 79 при 5800,nan,141 при 3800,АИ-92,107 л.с.,1.5 л,220,1485,45,дисковые вентилируемые,nan,передний,11.9 с,11.9,nan,nan,рядное,nan,nan,распределенный впрыск (многоточечный),1146,nan,Узбекистан,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-92,4,1690,1444,1454,Euro 5,nan,nan
Ravon ,Nexia R3 ,2015 – н.в. ,Седан ,2016,465 000 ₽,78000,серый,nan,1505,-,4330,nan,B,160,4,5,6,4,2480,автомат,автомат,107 / 79 при 5800,nan,141 при 3800,АИ-92,107 л.с.,1.5 л,220,1485,45,дисковые вентилируемые,nan,передний,11.9 с,11.9,nan,nan,рядное,nan,nan,распределенный впрыск (многоточечный),1168,nan,Узбекистан,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-92,4,1690,1444,1454,Euro 5,nan,nan
Ravon ,Nexia R3 ,2015 – н.в. ,Седан ,2017,509 000 ₽,20145,белый,nan,1505,-,4330,nan,B,160,4,5,6,4,2480,автомат,автомат,107 / 79 при 5800,nan,141 при 3800,АИ-92,107 л.с.,1.5 л,220,1485,45,дисковые вентилируемые,nan,передний,11.9 с,11.9,nan,nan,рядное,nan,nan,распределенный впрыск (многоточечный),1168,nan,Узбекистан,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-92,4,1690,1444,1454,Euro 5,nan,nan
Ravon ,Nexia R3 ,2015 – н.в. ,Седан ,2016,390 000 ₽,43300,красный,nan,1505,-,4330,nan,B,160,4,5,5,4,2480,механика,механика,107 / 79 при 5800,nan,141 при 3800,АИ-92,107 л.с.,1.5 л,220,1485,45,дисковые вентилируемые,nan,передний,11.9 с,11.9,nan,nan,рядное,nan,nan,распределенный впрыск (многоточечный),1146,nan,Узбекистан,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-92,4,1690,1444,1454,Euro 5,nan,nan
Ravon ,Nexia R3 ,2015 – н.в. ,Седан ,2020,758000₽,0,Белый,nan,1505,-,4330,nan,B,160,4,5,6,4,2480,автомат,автомат,107 / 79 при 5800,nan,141 при 3800,АИ-92,107 л.с.,1.5 л,220,1485,45,дисковые вентилируемые,nan,передний,11.9 с,11.9,nan,nan,рядное,nan,nan,распределенный впрыск (многоточечный),1168,nan,Узбекистан,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-92,4,1690,1444,1454,Euro 5,nan,nan
Ravon ,Nexia R3 ,2015 – н.в. ,Седан ,2017,520 000 ₽,62500,коричневый,nan,1505,-,4330,nan,B,160,4,5,5,4,2480,механика,механика,107 / 79 при 5800,nan,141 при 3800,АИ-92,107 л.с.,1.5 л,220,1485,45,дисковые вентилируемые,nan,передний,11.9 с,11.9,nan,nan,рядное,nan,nan,распределенный впрыск (многоточечный),1146,nan,Узбекистан,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-92,4,1690,1444,1454,Euro 5,nan,nan
