mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
LADA (ВАЗ) ,1111 Ока ,1987 – 2008 ,Хэтчбек 3 дв. ,2006,185 000 ₽,850,белый,nan,nan,nan,nan,nan,A,nan,3,4,nan,nan,nan,механика,nan,nan,nan,nan,nan,33 л.с.,0.8 л,nan,nan,nan,nan,nan,передний,24 с,nan,nan,nan,nan,nan,nan,nan,nan,nan,Россия,бензин,nan,nan,nan,nan,АИ-95,nan,nan,nan,nan,nan,Название рейтинга,nan
LADA (ВАЗ) ,1111 Ока ,1987 – 2008 ,Хэтчбек 3 дв. ,2005,50 000 ₽,60000,белый,nan,nan,nan,nan,nan,A,nan,3,4,nan,nan,nan,механика,nan,nan,nan,nan,nan,33 л.с.,0.8 л,nan,nan,nan,nan,nan,передний,24 с,nan,nan,nan,nan,nan,nan,nan,nan,nan,Россия,бензин,nan,nan,nan,nan,АИ-92,nan,nan,nan,nan,nan,Название рейтинга,nan
LADA (ВАЗ) ,1111 Ока ,1987 – 2008 ,Хэтчбек 3 дв. ,2005,61 000 ₽,40000,фиолетовый,nan,nan,nan,nan,nan,A,nan,3,4,nan,nan,nan,механика,nan,nan,nan,nan,nan,33 л.с.,0.8 л,nan,nan,nan,nan,nan,передний,24 с,nan,nan,nan,nan,nan,nan,nan,nan,nan,Россия,бензин,nan,nan,nan,nan,АИ-92,nan,nan,nan,nan,nan,Название рейтинга,nan
LADA (ВАЗ) ,1111 Ока ,1987 – 2008 ,Хэтчбек 3 дв. ,2005,55 000 ₽,70000,синий,nan,nan,nan,nan,nan,A,nan,3,4,nan,nan,nan,механика,nan,nan,nan,nan,nan,35 л.с.,0.8 л,nan,nan,nan,nan,nan,передний,24 с,nan,nan,nan,nan,6.8 л,nan,nan,nan,nan,Россия,бензин,nan,nan,nan,nan,АИ-92,nan,nan,nan,nan,nan,Название рейтинга,nan
LADA (ВАЗ) ,1111 Ока ,1987 – 2008 ,Хэтчбек 3 дв. ,2004,350 000 ₽,30000,серый,nan,nan,nan,nan,nan,A,nan,3,4,nan,nan,nan,механика,nan,nan,nan,nan,nan,35 л.с.,0.8 л,nan,nan,nan,nan,nan,передний,24 с,nan,nan,nan,nan,6.8 л,nan,nan,nan,nan,Россия,бензин,nan,nan,nan,nan,АИ-92,nan,nan,nan,nan,nan,Название рейтинга,nan
LADA (ВАЗ) ,1111 Ока ,1987 – 2008 ,Хэтчбек 3 дв. ,2005,119 999 ₽,35000,синий,nan,nan,nan,nan,nan,A,nan,3,4,nan,nan,nan,механика,nan,nan,nan,nan,nan,33 л.с.,0.8 л,nan,nan,nan,nan,nan,передний,24 с,nan,nan,nan,nan,nan,nan,nan,nan,nan,Россия,бензин,nan,nan,nan,nan,АИ-95,nan,nan,nan,nan,nan,Название рейтинга,nan
LADA (ВАЗ) ,1111 Ока ,1987 – 2008 ,Хэтчбек 3 дв. ,2002,30 000 ₽,69625,фиолетовый,nan,nan,nan,nan,nan,A,nan,3,4,nan,nan,nan,механика,nan,nan,nan,nan,nan,33 л.с.,0.8 л,nan,nan,nan,nan,nan,передний,24 с,nan,nan,nan,nan,nan,nan,nan,nan,nan,Россия,бензин,nan,nan,nan,nan,АИ-95,nan,nan,nan,nan,nan,Название рейтинга,nan
LADA (ВАЗ) ,1111 Ока ,1987 – 2008 ,Хэтчбек 3 дв. ,2006,130 000 ₽,94200,голубой,nan,nan,nan,nan,nan,A,nan,3,4,nan,nan,nan,механика,nan,nan,nan,nan,nan,53 л.с.,1.0 л,nan,nan,nan,nan,nan,передний,22 с,nan,nan,nan,nan,nan,nan,nan,nan,nan,Россия,бензин,nan,nan,nan,nan,АИ-95,nan,nan,nan,nan,nan,Название рейтинга,nan
LADA (ВАЗ) ,1111 Ока ,1987 – 2008 ,Хэтчбек 3 дв. ,1999,75 000 ₽,10000,белый,nan,nan,nan,nan,nan,A,nan,3,4,nan,nan,nan,механика,nan,nan,nan,nan,nan,33 л.с.,0.8 л,nan,nan,nan,nan,nan,передний,24 с,nan,nan,nan,nan,nan,nan,nan,nan,nan,Россия,бензин,nan,nan,nan,nan,АИ-92,nan,nan,nan,nan,nan,Название рейтинга,nan
LADA (ВАЗ) ,1111 Ока ,1987 – 2008 ,Хэтчбек 3 дв. ,2002,140 000 ₽,14700,зелёный,nan,nan,nan,nan,nan,A,nan,3,4,nan,nan,nan,механика,nan,nan,nan,nan,nan,33 л.с.,0.8 л,nan,nan,nan,nan,nan,передний,24 с,nan,nan,nan,nan,nan,nan,nan,nan,nan,Россия,бензин,nan,nan,nan,nan,АИ-95,nan,nan,nan,nan,nan,Название рейтинга,nan
