mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
BMW ,i8 ,I 2014 – 2017 ,Купе ,2015,5 900 000 ₽,34000,белый,49,1293,82 × 94.5,4689,дисковые вентилируемые,S,117,2,4,6,3,2800,автомат,автомат,231 / 170 при 5800,250,320 при 3700,АИ-98,231 л.с.,1.5 л,154,1499,30,дисковые вентилируемые,1855,полный,4.4 с,4.4,195/50/R20  215/45/R20,заднее,рядное,2.1 л,nan,непосредственный впрыск (прямой),1485,9.5,Германия,гибрид,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-98,4,1942,1721,1644,Euro 6,nan,nan
BMW ,i8 ,I 2014 – 2017 ,Купе ,2015,4 800 000 ₽,34123,оранжевый,49,1293,82 × 94.5,4689,дисковые вентилируемые,S,117,2,4,6,3,2800,автомат,автомат,231 / 170 при 5800,250,320 при 3700,АИ-98,231 л.с.,1.5 л,154,1499,30,дисковые вентилируемые,1855,полный,4.4 с,4.4,195/50/R20  215/45/R20,заднее,рядное,2.1 л,nan,непосредственный впрыск (прямой),1485,9.5,Германия,гибрид,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-98,4,1942,1721,1644,Euro 6,nan,nan
BMW ,i8 ,I 2014 – 2017 ,Купе ,2016,5 199 000 ₽,50000,серый,49,1293,82 × 94.5,4689,дисковые вентилируемые,S,117,2,4,6,3,2800,автомат,автомат,231 / 170 при 5800,250,320 при 3700,АИ-98,231 л.с.,1.5 л,154,1499,30,дисковые вентилируемые,1855,полный,4.4 с,4.4,195/50/R20  215/45/R20,заднее,рядное,2.1 л,nan,непосредственный впрыск (прямой),1485,9.5,Германия,гибрид,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-98,4,1942,1721,1644,Euro 6,nan,nan
BMW ,i8 ,I 2014 – 2017 ,Купе ,2016,5 500 000 ₽,37000,красный,49,1293,82 × 94.5,4689,дисковые вентилируемые,S,117,2,4,6,3,2800,автомат,автомат,231 / 170 при 5800,250,320 при 3700,АИ-98,231 л.с.,1.5 л,154,1499,30,дисковые вентилируемые,1855,полный,4.4 с,4.4,195/50/R20  215/45/R20,заднее,рядное,2.1 л,nan,непосредственный впрыск (прямой),1485,9.5,Германия,гибрид,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-98,4,1942,1721,1644,Euro 6,nan,nan
Suzuki ,SX4 ,II (S-Cross) 2013 – 2016 ,Хэтчбек 5 дв. ,2014,709 000 ₽,127000,серый,nan,1590,78 × 83,4300,дисковые,J,180,5,5,nan,4,2600,вариатор,вариатор,117 / 86 при 6000,170,156 при 4400,АИ-95,117 л.с.,1.6 л,430/1269,1586,47,дисковые вентилируемые,1740,передний,12.4 с,12.4,205/60/R16,"переднее, поперечное",рядное,5.5 л,6.8/4.7/5.5,распределенный впрыск (многоточечный),1125,11,Япония,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-95,4,1765,1505,1535,nan,5 / 5,EuroNCAP
Suzuki ,SX4 ,II (S-Cross) 2013 – 2016 ,Хэтчбек 5 дв. ,2014,819 000 ₽,81000,серебристый,nan,1590,78 × 83,4300,дисковые,J,175,5,5,nan,4,2600,вариатор,вариатор,117 / 86 при 6000,165,156 при 4400,АИ-95,117 л.с.,1.6 л,430/1269,1586,47,дисковые вентилируемые,1740,полный,13.5 с,13.5,205/50/R17,"переднее, поперечное",рядное,5.7 л,6.8/5/5.7,распределенный впрыск (многоточечный),1190,11,Япония,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",полный,АИ-95,4,1765,1505,1535,nan,5 / 5,EuroNCAP
Suzuki ,SX4 ,II (S-Cross) 2013 – 2016 ,Хэтчбек 5 дв. ,2013,845 000 ₽,95472,зелёный,nan,1590,78 × 83,4300,дисковые,J,175,5,5,nan,4,2600,вариатор,вариатор,117 / 86 при 6000,165,156 при 4400,АИ-95,117 л.с.,1.6 л,430/1269,1586,47,дисковые вентилируемые,1740,полный,13.5 с,13.5,205/50/R17,"переднее, поперечное",рядное,5.7 л,6.8/5/5.7,распределенный впрыск (многоточечный),1190,11,Япония,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",полный,АИ-95,4,1765,1505,1535,nan,5 / 5,EuroNCAP
Suzuki ,SX4 ,II (S-Cross) 2013 – 2016 ,Хэтчбек 5 дв. ,2014,820 000 ₽,70805,белый,nan,1590,78 × 83,4300,дисковые,J,180,5,5,nan,4,2600,вариатор,вариатор,117 / 86 при 6000,170,156 при 4400,АИ-95,117 л.с.,1.6 л,430/1269,1586,47,дисковые вентилируемые,1740,передний,12.4 с,12.4,205/60/R16,"переднее, поперечное",рядное,5.5 л,6.8/4.7/5.5,распределенный впрыск (многоточечный),1125,11,Япония,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-95,4,1765,1505,1535,nan,5 / 5,EuroNCAP
Suzuki ,SX4 ,II (S-Cross) 2013 – 2016 ,Хэтчбек 5 дв. ,2014,997 000 ₽,57190,серый,nan,1590,78 × 83,4300,дисковые,J,175,5,5,nan,4,2600,вариатор,вариатор,117 / 86 при 6000,165,156 при 4400,АИ-95,117 л.с.,1.6 л,430/1269,1586,47,дисковые вентилируемые,1740,полный,13.5 с,13.5,205/50/R17,"переднее, поперечное",рядное,5.7 л,6.8/5/5.7,распределенный впрыск (многоточечный),1190,11,Япония,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",полный,АИ-95,4,1765,1505,1535,nan,5 / 5,EuroNCAP
Suzuki ,SX4 ,II (S-Cross) 2013 – 2016 ,Хэтчбек 5 дв. ,2014,771 000 ₽,138779,чёрный,nan,1590,78 × 83,4300,дисковые,J,180,5,5,nan,4,2600,вариатор,вариатор,117 / 86 при 6000,170,156 при 4400,АИ-95,117 л.с.,1.6 л,430/1269,1586,47,дисковые вентилируемые,1740,передний,12.4 с,12.4,205/60/R16,"переднее, поперечное",рядное,5.5 л,6.8/4.7/5.5,распределенный впрыск (многоточечный),1125,11,Япония,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",передний,АИ-95,4,1765,1505,1535,nan,5 / 5,EuroNCAP
Suzuki ,SX4 ,II (S-Cross) 2013 – 2016 ,Хэтчбек 5 дв. ,2014,875 000 ₽,94000,серый,nan,1590,78 × 83,4300,дисковые,J,175,5,5,nan,4,2600,вариатор,вариатор,117 / 86 при 6000,165,156 при 4400,АИ-95,117 л.с.,1.6 л,430/1269,1586,47,дисковые вентилируемые,1740,полный,13.5 с,13.5,205/50/R17,"переднее, поперечное",рядное,5.7 л,6.8/5/5.7,распределенный впрыск (многоточечный),1190,11,Япония,бензин,"полунезависимая, торсионная",нет,"независимая, пружинная",полный,АИ-95,4,1765,1505,1535,nan,5 / 5,EuroNCAP
