mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Renault ,Kangoo ,II Рестайлинг 2013 – н.в. ,Компактвэн ,2013,670 000 ₽,109000,синий,191,1803,79.5 × 80.5,4213,дисковые,M,158,5,5,5,4,2697,механика,механика,102 / 75 при 5750,170,145 при 3750,АИ-95,102 л.с.,1.6 л,660/2600,1598,60,дисковые вентилируемые,1924,передний,13 с,13,195/65/R15,"переднее, поперечное",рядное,7.9 л,10.6/6.3/7.9,распределенный впрыск (многоточечный),1368,9.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1829,1533,1521,Euro 4,nan,nan
Renault ,Kangoo ,II Рестайлинг 2013 – н.в. ,Компактвэн ,2015,719 000 ₽,77000,синий,191,1803,79.5 × 80.5,4213,дисковые,M,158,5,5,5,4,2697,механика,механика,102 / 75 при 5750,170,145 при 3750,АИ-95,102 л.с.,1.6 л,660/2600,1598,60,дисковые вентилируемые,1924,передний,13 с,13,195/65/R15,"переднее, поперечное",рядное,7.9 л,10.6/6.3/7.9,распределенный впрыск (многоточечный),1368,9.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1829,1533,1521,Euro 4,nan,nan
Renault ,Kangoo ,II Рестайлинг 2013 – н.в. ,Компактвэн ,2014,639 000 ₽,127000,белый,191,1803,79.5 × 80.5,4213,дисковые,M,158,5,5,5,4,2697,механика,механика,102 / 75 при 5750,170,145 при 3750,АИ-95,102 л.с.,1.6 л,660/2600,1598,60,дисковые вентилируемые,1924,передний,13 с,13,195/65/R15,"переднее, поперечное",рядное,7.9 л,10.6/6.3/7.9,распределенный впрыск (многоточечный),1368,9.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1829,1533,1521,Euro 4,nan,nan
Renault ,Kangoo ,II Рестайлинг 2013 – н.в. ,Компактвэн ,2014,650 000 ₽,143877,серый,191,1803,79.5 × 80.5,4213,дисковые,M,158,5,5,5,4,2697,механика,механика,102 / 75 при 5750,170,145 при 3750,АИ-95,102 л.с.,1.6 л,660/2600,1598,60,дисковые вентилируемые,1924,передний,13 с,13,195/65/R15,"переднее, поперечное",рядное,7.9 л,10.6/6.3/7.9,распределенный впрыск (многоточечный),1368,9.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1829,1533,1521,Euro 4,nan,nan
Renault ,Kangoo ,II Рестайлинг 2013 – н.в. ,Компактвэн ,2014,680 000 ₽,116000,белый,191,1803,79.5 × 80.5,4213,дисковые,M,158,5,5,5,4,2697,механика,механика,102 / 75 при 5750,170,145 при 3750,АИ-95,102 л.с.,1.6 л,660/2600,1598,60,дисковые вентилируемые,1924,передний,13 с,13,195/65/R15,"переднее, поперечное",рядное,7.9 л,10.6/6.3/7.9,распределенный впрыск (многоточечный),1368,9.5,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1829,1533,1521,Euro 4,nan,nan
Renault ,Kangoo ,II Рестайлинг 2013 – н.в. ,Компактвэн ,2014,505 000 ₽,240450,белый,140,1803,76 × 80.5,4213,дисковые,M,158,5,5,5,4,2697,механика,механика,86 / 63 при 3750,158,200 при 1900,ДТ,86 л.с.,1.5 л,660/2600,1461,60,дисковые вентилируемые,1954,передний,16 с,16,195/65/R15,"переднее, поперечное",рядное,5.3 л,5.9/5/5.3,nan,1368,nan,Франция,дизель,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,ДТ,2,1829,1533,1521,Euro 4,nan,nan
Chevrolet ,Aveo ,II 2011 – 2015 ,Седан ,2012,500 000 ₽,120000,белый,159,1517,79 × 81.5,4399,барабанные,B,150,4,5,5,4,2525,механика,механика,115 / 85 при 6000,189,155 при 4000,АИ-95,115 л.с.,1.6 л,502,1598,46,дисковые вентилируемые,1593,передний,11.3 с,11.3,195/65/R15  205/55/R16,"переднее, поперечное",рядное,6.6 л,8.9/5.3/6.6,распределенный впрыск (многоточечный),1098,10.8,США,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1735,1495,1497,Euro 5,nan,nan
Chevrolet ,Aveo ,II 2011 – 2015 ,Седан ,2014,425 000 ₽,103206,синий,159,1517,79 × 81.5,4399,барабанные,B,150,4,5,5,4,2525,механика,механика,115 / 85 при 6000,189,155 при 4000,АИ-95,115 л.с.,1.6 л,502,1598,46,дисковые вентилируемые,1593,передний,11.3 с,11.3,195/65/R15  205/55/R16,"переднее, поперечное",рядное,6.6 л,8.9/5.3/6.6,распределенный впрыск (многоточечный),1098,10.8,США,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1735,1495,1497,Euro 5,nan,nan
Chevrolet ,Aveo ,II 2011 – 2015 ,Седан ,2012,460 000 ₽,81500,серый,167,1517,79 × 81.5,4399,барабанные,B,150,4,5,6,4,2525,автомат,автомат,115 / 85 при 6000,186,155 при 4000,АИ-95,115 л.с.,1.6 л,502,1598,46,дисковые вентилируемые,1593,передний,11.7 с,11.7,195/65/R15  205/55/R16,"переднее, поперечное",рядное,7.1 л,9.9/5.5/7.1,распределенный впрыск (многоточечный),1098,10.8,США,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1735,1495,1497,Euro 5,nan,nan
Chevrolet ,Aveo ,II 2011 – 2015 ,Седан ,2012,446 000 ₽,145000,красный,167,1517,79 × 81.5,4399,барабанные,B,150,4,5,6,4,2525,автомат,автомат,115 / 85 при 6000,186,155 при 4000,АИ-95,115 л.с.,1.6 л,502,1598,46,дисковые вентилируемые,1593,передний,11.7 с,11.7,195/65/R15  205/55/R16,"переднее, поперечное",рядное,7.1 л,9.9/5.5/7.1,распределенный впрыск (многоточечный),1098,10.8,США,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1735,1495,1497,Euro 5,nan,nan
Chevrolet ,Aveo ,II 2011 – 2015 ,Седан ,2014,527 000 ₽,71089,серый,159,1517,79 × 81.5,4399,барабанные,B,150,4,5,5,4,2525,механика,механика,115 / 85 при 6000,189,155 при 4000,АИ-95,115 л.с.,1.6 л,502,1598,46,дисковые вентилируемые,1593,передний,11.3 с,11.3,195/65/R15  205/55/R16,"переднее, поперечное",рядное,6.6 л,8.9/5.3/6.6,распределенный впрыск (многоточечный),1098,10.8,США,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1735,1495,1497,Euro 5,nan,nan
Chevrolet ,Aveo ,II 2011 – 2015 ,Седан ,2012,399 000 ₽,134189,чёрный,167,1517,79 × 81.5,4399,барабанные,B,150,4,5,6,4,2525,автомат,автомат,115 / 85 при 6000,186,155 при 4000,АИ-95,115 л.с.,1.6 л,502,1598,46,дисковые вентилируемые,1593,передний,11.7 с,11.7,195/65/R15  205/55/R16,"переднее, поперечное",рядное,7.1 л,9.9/5.5/7.1,распределенный впрыск (многоточечный),1098,10.8,США,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1735,1495,1497,Euro 5,nan,nan
