mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Peugeot ,301 ,I 2012 – 2016 ,Седан ,2013,385 000 ₽,118327,синий,168,1466,-,4442,барабанные,B,142,4,5,4,4,2652,автомат,автомат,115 / 85 при 6050,188,150 при 4000,АИ-95,115 л.с.,1.6 л,506,1587,50,дисковые вентилируемые,1524,передний,11.8 с,11.8,nan,"переднее, поперечное",рядное,7.1 л,10/5.5/7.1,распределенный впрыск (многоточечный),1165,nan,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1748,1476,1501,Euro 5,3 / 5,EuroNCAP
Peugeot ,301 ,I 2012 – 2016 ,Седан ,2013,424 900 ₽,92000,чёрный,168,1466,-,4442,барабанные,B,142,4,5,4,4,2652,автомат,автомат,115 / 85 при 6050,188,150 при 4000,АИ-95,115 л.с.,1.6 л,506,1587,50,дисковые вентилируемые,1524,передний,11.8 с,11.8,nan,"переднее, поперечное",рядное,7.1 л,10/5.5/7.1,распределенный впрыск (многоточечный),1165,nan,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1748,1476,1501,Euro 5,3 / 5,EuroNCAP
Peugeot ,301 ,I 2012 – 2016 ,Седан ,2013,390 000 ₽,115000,коричневый,124,1466,-,4442,барабанные,B,142,4,5,5,3,2652,механика,механика,72 / 53 при 5500,160,110 при 3000,АИ-95,72 л.с.,1.2 л,506,1199,50,дисковые вентилируемые,1459,передний,15.1 с,15.1,nan,"переднее, поперечное",рядное,5.2 л,6.9/4.2/5.2,распределенный впрыск (многоточечный),1055,nan,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1748,1476,1501,Euro 5,3 / 5,EuroNCAP
Peugeot ,301 ,I 2012 – 2016 ,Седан ,2013,430 000 ₽,160000,чёрный,168,1466,-,4442,барабанные,B,142,4,5,4,4,2652,автомат,автомат,115 / 85 при 6050,188,150 при 4000,АИ-95,115 л.с.,1.6 л,506,1587,50,дисковые вентилируемые,1524,передний,11.8 с,11.8,nan,"переднее, поперечное",рядное,7.1 л,10/5.5/7.1,распределенный впрыск (многоточечный),1165,nan,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1748,1476,1501,Euro 5,3 / 5,EuroNCAP
Peugeot ,301 ,I 2012 – 2016 ,Седан ,2013,350 000 ₽,189000,белый,119,1466,-,4442,барабанные,B,142,4,5,5,3,2652,робот,робот,72 / 53 при 5500,nan,110 при 3000,АИ-95,72 л.с.,1.2 л,506,1199,50,дисковые вентилируемые,1467,передний,nan,nan,nan,"переднее, поперечное",рядное,5.2 л,6.3/4.6/5.2,распределенный впрыск (многоточечный),980,nan,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1748,1476,1501,Euro 5,3 / 5,EuroNCAP
Peugeot ,301 ,I 2012 – 2016 ,Седан ,2013,300 000 ₽,220000,серый,124,1466,-,4442,барабанные,B,142,4,5,5,3,2652,механика,механика,72 / 53 при 5500,160,110 при 3000,АИ-95,72 л.с.,1.2 л,506,1199,50,дисковые вентилируемые,1459,передний,15.1 с,15.1,nan,"переднее, поперечное",рядное,5.2 л,6.9/4.2/5.2,распределенный впрыск (многоточечный),1055,nan,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1748,1476,1501,Euro 5,3 / 5,EuroNCAP
Peugeot ,301 ,I 2012 – 2016 ,Седан ,2013,350 000 ₽,150000,серый,168,1466,-,4442,барабанные,B,142,4,5,4,4,2652,автомат,автомат,115 / 85 при 6050,188,150 при 4000,АИ-95,115 л.с.,1.6 л,506,1587,50,дисковые вентилируемые,1524,передний,11.8 с,11.8,nan,"переднее, поперечное",рядное,7.1 л,10/5.5/7.1,распределенный впрыск (многоточечный),1165,nan,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1748,1476,1501,Euro 5,3 / 5,EuroNCAP
Peugeot ,301 ,I 2012 – 2016 ,Седан ,2013,415 000 ₽,149000,коричневый,168,1466,-,4442,барабанные,B,142,4,5,4,4,2652,автомат,автомат,115 / 85 при 6050,188,150 при 4000,АИ-95,115 л.с.,1.6 л,506,1587,50,дисковые вентилируемые,1524,передний,11.8 с,11.8,nan,"переднее, поперечное",рядное,7.1 л,10/5.5/7.1,распределенный впрыск (многоточечный),1165,nan,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1748,1476,1501,Euro 5,3 / 5,EuroNCAP
Peugeot ,301 ,I 2012 – 2016 ,Седан ,2014,450 000 ₽,170000,коричневый,151,1466,-,4442,барабанные,B,142,4,5,5,4,2652,механика,механика,115 / 85 при 6050,188,150 при 4000,АИ-95,115 л.с.,1.6 л,506,1587,50,дисковые вентилируемые,1524,передний,10.3 с,10.3,nan,"переднее, поперечное",рядное,6.4 л,8.7/5.1/6.4,распределенный впрыск (многоточечный),1165,nan,Франция,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1748,1476,1501,Euro 5,3 / 5,EuroNCAP
Peugeot ,Partner ,II Рестайлинг 2012 – 2015 ,Компактвэн ,2013,495 000 ₽,102000,белый,150,1801,75 × 88.3,4380,дисковые,M,150,5,5,5,4,2728,механика,механика,90 / 66 при 3600,161,215 при 1500,ДТ,90 л.с.,1.6 л,2650/3000,1560,60,дисковые вентилируемые,2020,передний,13.6 с,13.6,205/65/R15  215/55/R16,"переднее, поперечное",рядное,5.7 л,6.7/5.2/5.7,nan,1590,18,Франция,дизель,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,ДТ,4,1810,1554,1505,Euro 4,nan,nan
