mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Chrysler ,Pacifica ,RU 2016 – н.в. ,Минивэн ,2020,4660000₽,0,Чёрный,nan,1818,96 × 83,5218,дисковые,M,131,5,7,9,6,3078,автомат,автомат,279 / 205 при 6400,nan,355 при 4000,АИ-95,279 л.с.,3.6 л,915/3979,3605,71,дисковые вентилируемые,nan,передний,7.4 с,7.4,235/65/R17  235/60/R18  245/50/R20,"переднее, поперечное",V-образное,nan,nan,распределенный впрыск (многоточечный),2091,11.3,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1998,1645,1663,nan,nan,nan
Chrysler ,Pacifica ,RU 2016 – н.в. ,Минивэн ,2017,2 700 000 ₽,63000,серый,nan,1818,96 × 83,5218,дисковые,M,131,5,7,9,6,3078,автомат,автомат,287 / 214 при 6400,229,355 при 4000,АИ-95,287 л.с.,3.6 л,915/3979,3605,71,дисковые вентилируемые,2724,передний,7.6 с,7.6,235/65/R17  235/60/R18  245/50/R20,"переднее, поперечное",V-образное,10.7 л,12.4/8.4/10.7,распределенный впрыск (многоточечный),1964,11.3,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1998,1645,1663,nan,nan,nan
Chrysler ,Pacifica ,RU 2016 – н.в. ,Минивэн ,2020,4175000₽,0,Коричневый,nan,1818,96 × 83,5218,дисковые,M,131,5,7,9,6,3078,автомат,автомат,279 / 205 при 6400,nan,355 при 4000,АИ-95,279 л.с.,3.6 л,915/3979,3605,71,дисковые вентилируемые,nan,передний,7.4 с,7.4,235/65/R17  235/60/R18  245/50/R20,"переднее, поперечное",V-образное,nan,nan,распределенный впрыск (многоточечный),2091,11.3,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1998,1645,1663,nan,nan,nan
Chrysler ,Pacifica ,RU 2016 – н.в. ,Минивэн ,2020,4275000₽,0,Чёрный,nan,1818,96 × 83,5218,дисковые,M,131,5,7,9,6,3078,автомат,автомат,279 / 205 при 6400,nan,355 при 4000,АИ-95,279 л.с.,3.6 л,915/3979,3605,71,дисковые вентилируемые,nan,передний,7.4 с,7.4,235/65/R17  235/60/R18  245/50/R20,"переднее, поперечное",V-образное,nan,nan,распределенный впрыск (многоточечный),2091,11.3,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1998,1645,1663,nan,nan,nan
Chrysler ,Pacifica ,RU 2016 – н.в. ,Минивэн ,2020,4610000₽,0,Белый,nan,1818,96 × 83,5218,дисковые,M,131,5,7,9,6,3078,автомат,автомат,279 / 205 при 6400,nan,355 при 4000,АИ-95,279 л.с.,3.6 л,915/3979,3605,71,дисковые вентилируемые,nan,передний,7.4 с,7.4,235/65/R17  235/60/R18  245/50/R20,"переднее, поперечное",V-образное,nan,nan,распределенный впрыск (многоточечный),2091,11.3,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1998,1645,1663,nan,nan,nan
Opel ,Corsa OPC ,D 2007 – 2010 ,Хэтчбек 3 дв. ,2008,375 000 ₽,187808,чёрный,nan,1488,79 × 81.5,4040,дисковые,B,115,3,5,6,4,2511,механика,механика,192 / 141 при 5850,225,230 при 1950 – 5850,АИ-95,192 л.с.,1.6 л,285/1050,1598,45,дисковые вентилируемые,1545,передний,7.2 с,7.2,215/45/R17,"переднее, поперечное",рядное,7.9 л,10.5/6.4/7.9,распределенный впрыск (многоточечный),1100,8.8,Германия,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1713,1478,1485,nan,nan,nan
Opel ,Corsa OPC ,D 2007 – 2010 ,Хэтчбек 3 дв. ,2008,560 000 ₽,141000,синий,nan,1488,79 × 81.5,4040,дисковые,B,115,3,5,6,4,2511,механика,механика,192 / 141 при 5850,225,230 при 1950 – 5850,АИ-95,192 л.с.,1.6 л,285/1050,1598,45,дисковые вентилируемые,1545,передний,7.2 с,7.2,215/45/R17,"переднее, поперечное",рядное,7.9 л,10.5/6.4/7.9,распределенный впрыск (многоточечный),1100,8.8,Германия,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1713,1478,1485,nan,nan,nan
Opel ,Corsa OPC ,D 2007 – 2010 ,Хэтчбек 3 дв. ,2008,525 000 ₽,145000,синий,nan,1488,79 × 81.5,4040,дисковые,B,115,3,5,6,4,2511,механика,механика,192 / 141 при 5850,225,230 при 1950 – 5850,АИ-95,192 л.с.,1.6 л,285/1050,1598,45,дисковые вентилируемые,1545,передний,7.2 с,7.2,215/45/R17,"переднее, поперечное",рядное,7.9 л,10.5/6.4/7.9,распределенный впрыск (многоточечный),1100,8.8,Германия,бензин,"полунезависимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1713,1478,1485,nan,nan,nan
Mercedes-Benz ,CLS ,II (C218) Рестайлинг 2014 – 2017 ,Универсал 5 дв. ,2017,3 400 000 ₽,21000,чёрный,178,1419,83 × 92,4953,дисковые,E,118,5,5,9,6,2874,автомат,автомат,249 / 183 при 3600,240,620 при 1600 – 2400,ДТ,249 л.с.,3.0 л,590/1550,2987,59,дисковые вентилируемые,2520,полный,6.8 с,6.8,245/45/R17,"переднее, продольное",V-образное,6.8 л,8.3/6/6.8,nan,1995,15.5,Германия,дизель,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,ДТ,4,1881,1629,1596,Euro 6,nan,nan
Mercedes-Benz ,CLS ,II (C218) Рестайлинг 2014 – 2017 ,Универсал 5 дв. ,2015,2 168 000 ₽,127372,чёрный,192,1419,88 × 82.1,4953,дисковые вентилируемые,E,118,5,5,7,6,2874,автомат,автомат,333 / 245 при 5250 – 6000,250,480 при 1200 – 4000,АИ-95,333 л.с.,3.0 л,590/1550,2996,59,дисковые вентилируемые,2440,полный,5.4 с,5.4,245/45/R17,"переднее, продольное",V-образное,8.3 л,10.9/6.6/8.3,непосредственный впрыск (прямой),1840,10.5,Германия,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-95,4,1881,1629,1596,Euro 6,nan,nan
Mercedes-Benz ,CLS ,II (C218) Рестайлинг 2014 – 2017 ,Универсал 5 дв. ,2017,3 500 000 ₽,14000,серый,178,1419,83 × 92,4953,дисковые,E,118,5,5,9,6,2874,автомат,автомат,249 / 183 при 3600,240,620 при 1600 – 2400,ДТ,249 л.с.,3.0 л,590/1550,2987,59,дисковые вентилируемые,2520,полный,6.8 с,6.8,245/45/R17,"переднее, продольное",V-образное,6.8 л,8.3/6/6.8,nan,1995,15.5,Германия,дизель,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,ДТ,4,1881,1629,1596,Euro 6,nan,nan
