mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Dodge ,Dart ,2012 – 2016 ,Седан ,2015,899 000 ₽,84000,чёрный,nan,1465,88 × 97,4672,дисковые,C,112,4,5,6,4,2703,автомат,автомат,184 / 135 при 6250,228,236 при 4800,АИ-95,184 л.с.,2.4 л,371,2360,50,дисковые вентилируемые,nan,передний,8.9 с,8.9,205/55/R16,"переднее, поперечное",рядное,8.7 л,10.2/6.7/8.7,распределенный впрыск (многоточечный),1458,10.5,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1830,1565,1568,nan,nan,nan
Dodge ,Dart ,2012 – 2016 ,Седан ,2015,750 000 ₽,81000,оранжевый,nan,1465,88 × 97,4672,дисковые,C,112,4,5,6,4,2703,механика,механика,184 / 135 при 6250,227,236 при 4800,АИ-95,184 л.с.,2.4 л,371,2360,50,дисковые вентилируемые,nan,передний,8.8 с,8.8,205/55/R16,"переднее, поперечное",рядное,8.7 л,10.7/6.7/8.7,распределенный впрыск (многоточечный),1436,10.5,США,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1830,1565,1568,nan,nan,nan
Dodge ,Dart ,2012 – 2016 ,Седан ,2012,910 000 ₽,92297,чёрный,nan,1465,72 × 84,4672,дисковые,C,112,4,5,6,4,2703,робот,робот,160 / 118 при 5500,219,249 при 2500,АИ-95,160 л.с.,1.4 л,371,1368,50,дисковые вентилируемые,nan,передний,8.6 с,8.6,205/55/R16,"переднее, поперечное",рядное,7.6 л,8.7/6.4/7.6,распределенный впрыск (многоточечный),1471,11,США,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,АИ-95,4,1830,1565,1568,nan,nan,nan
Hyundai ,i40 ,I 2011 – 2015 ,Универсал 5 дв. ,2013,1 100 000 ₽,25199,серый,159,1470,-,4770,дисковые,D,nan,5,5,6,4,2770,автомат,автомат,136 / 100 при 4000,190,320 при 2500 – 2000,ДТ,136 л.с.,1.7 л,553,1685,70,дисковые вентилируемые,2150,передний,12 с,12,205/60/R16,"переднее, поперечное",рядное,6 л,7.8/5/6,nan,1589,nan,Южная Корея,дизель,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,ДТ,4,1815,1597,1591,nan,5 / 5,EuroNCAP
Hyundai ,i40 ,I 2011 – 2015 ,Универсал 5 дв. ,2013,839 000 ₽,182405,чёрный,159,1470,-,4770,дисковые,D,nan,5,5,6,4,2770,автомат,автомат,136 / 100 при 4000,190,320 при 2500 – 2000,ДТ,136 л.с.,1.7 л,553,1685,70,дисковые вентилируемые,2150,передний,12 с,12,205/60/R16,"переднее, поперечное",рядное,6 л,7.8/5/6,nan,1589,nan,Южная Корея,дизель,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,ДТ,4,1815,1597,1591,nan,5 / 5,EuroNCAP
Hyundai ,i40 ,I 2011 – 2015 ,Универсал 5 дв. ,2013,899 000 ₽,81752,белый,184,1470,-,4770,дисковые,D,nan,5,5,6,4,2770,автомат,автомат,150 / 110 при 6500,200,200 при 4800,АИ-95,150 л.с.,2.0 л,553,1999,70,дисковые вентилируемые,2080,передний,11 с,11,205/60/R16,"переднее, поперечное",рядное,7.8 л,10.6/6.1/7.8,распределенный впрыск (многоточечный),1511,nan,Южная Корея,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1815,1597,1591,nan,5 / 5,EuroNCAP
Hyundai ,i40 ,I 2011 – 2015 ,Универсал 5 дв. ,2013,681 000 ₽,186000,серый,184,1470,-,4770,дисковые,D,nan,5,5,6,4,2770,автомат,автомат,150 / 110 при 6500,200,200 при 4800,АИ-95,150 л.с.,2.0 л,553,1999,70,дисковые вентилируемые,2080,передний,11 с,11,205/60/R16,"переднее, поперечное",рядное,7.8 л,10.6/6.1/7.8,распределенный впрыск (многоточечный),1511,nan,Южная Корея,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1815,1597,1591,nan,5 / 5,EuroNCAP
Hyundai ,i40 ,I 2011 – 2015 ,Универсал 5 дв. ,2013,710 000 ₽,151000,серебристый,nan,1470,-,4770,дисковые,D,140,5,5,6,4,2770,механика,механика,136 / 100 при 4000,200,324 при 2500,ДТ,136 л.с.,1.7 л,553,1685,70,дисковые вентилируемые,2120,передний,10.6 с,10.6,nan,"переднее, поперечное",рядное,4.7 л,5.5/4.3/4.7,nan,1570,nan,Южная Корея,дизель,"независимая, пружинная",турбонаддув,"независимая, пружинная",передний,ДТ,4,1815,1597,1591,Euro 5,5 / 5,EuroNCAP
Hyundai ,i40 ,I 2011 – 2015 ,Универсал 5 дв. ,2012,800 000 ₽,203000,серый,184,1470,-,4770,дисковые,D,nan,5,5,6,4,2770,автомат,автомат,150 / 110 при 6500,200,200 при 4800,АИ-95,150 л.с.,2.0 л,553,1999,70,дисковые вентилируемые,2080,передний,11 с,11,205/60/R16,"переднее, поперечное",рядное,7.8 л,10.6/6.1/7.8,распределенный впрыск (многоточечный),1511,nan,Южная Корея,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1815,1597,1591,nan,5 / 5,EuroNCAP
Hyundai ,i40 ,I 2011 – 2015 ,Универсал 5 дв. ,2013,900 000 ₽,110000,чёрный,184,1470,-,4770,дисковые,D,nan,5,5,6,4,2770,автомат,автомат,150 / 110 при 6500,200,200 при 4800,АИ-95,150 л.с.,2.0 л,553,1999,70,дисковые вентилируемые,2080,передний,11 с,11,205/60/R16,"переднее, поперечное",рядное,7.8 л,10.6/6.1/7.8,распределенный впрыск (многоточечный),1511,nan,Южная Корея,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1815,1597,1591,nan,5 / 5,EuroNCAP
