mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Jaguar ,XF ,II 2015 – н.в. ,Седан ,2018,2 248 999 ₽,38000,белый,114,1457,83 × 92.35,4954,дисковые вентилируемые,E,116,4,5,8,4,2960,автомат,автомат,180 / 132 при 4000,229,430 при 1750 – 2500,ДТ,180 л.с.,2.0 л,505,1999,55,дисковые вентилируемые,2250,задний,8.1 с,8.1,245/45/R18,"переднее, продольное",рядное,4.3 л,5.2/3.8/4.3,nan,1595,15.5,Великобритания,дизель,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,ДТ,4,1880,1594,1605,Euro 6,5 / 5,EuroNCAP
Jaguar ,XF ,II 2015 – н.в. ,Седан ,2016,2 017 000 ₽,99027,коричневый,129,1457,83 × 92.35,4954,дисковые вентилируемые,E,116,4,5,8,4,2960,автомат,автомат,180 / 132 при 4000,222,430 при 1750 – 2500,ДТ,180 л.с.,2.0 л,505,1999,55,дисковые вентилируемые,2310,полный,8.4 с,8.4,245/45/R18,"переднее, продольное",рядное,4.9 л,5.7/4.5/4.9,nan,1700,15.5,Великобритания,дизель,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,ДТ,4,1880,1594,1605,Euro 6,5 / 5,EuroNCAP
Jaguar ,XF ,II 2015 – н.в. ,Седан ,2016,2 250 000 ₽,93070,зелёный,204,1457,84.5 × 89,4954,дисковые вентилируемые,E,116,4,5,8,6,2960,автомат,автомат,340 / 250 при 6500,250,450 при 4500,АИ-95,340 л.с.,3.0 л,505,2995,55,дисковые вентилируемые,2370,полный,5.4 с,5.4,245/45/R18,"переднее, продольное",V-образное,8.6 л,11.9/6.7/8.6,непосредственный впрыск (прямой),1760,10.5,Великобритания,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-95,4,1880,1594,1605,Euro 6,5 / 5,EuroNCAP
Jaguar ,XF ,II 2015 – н.в. ,Седан ,2016,1 565 000 ₽,122441,белый,179,1457,87.5 × 83.1,4954,дисковые вентилируемые,E,116,4,5,8,4,2960,автомат,автомат,240 / 177 при 5500,248,340 при 1750 – 4000,АИ-95,240 л.с.,2.0 л,505,1999,55,дисковые вентилируемые,2210,задний,7 с,7,245/45/R18,"переднее, продольное",рядное,7.5 л,10.5/5.8/7.5,непосредственный впрыск (прямой),1590,10,Великобритания,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1880,1594,1605,Euro 6,5 / 5,EuroNCAP
Jaguar ,XF ,II 2015 – н.в. ,Седан ,2016,1 898 000 ₽,62500,красный,114,1457,83 × 92.35,4954,дисковые вентилируемые,E,116,4,5,8,4,2960,автомат,автомат,180 / 132 при 4000,229,430 при 1750 – 2500,ДТ,180 л.с.,2.0 л,505,1999,55,дисковые вентилируемые,2250,задний,8.1 с,8.1,245/45/R18,"переднее, продольное",рядное,4.3 л,5.2/3.8/4.3,nan,1595,15.5,Великобритания,дизель,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,ДТ,4,1880,1594,1605,Euro 6,5 / 5,EuroNCAP
Jaguar ,XF ,II 2015 – н.в. ,Седан ,2016,3 797 000 ₽,7486,белый,179,1457,87.5 × 83.1,4954,дисковые вентилируемые,E,116,4,5,8,4,2960,автомат,автомат,240 / 177 при 5500,248,340 при 1750 – 4000,АИ-95,240 л.с.,2.0 л,505,1999,55,дисковые вентилируемые,2210,задний,7 с,7,245/45/R18,"переднее, продольное",рядное,7.5 л,10.5/5.8/7.5,непосредственный впрыск (прямой),1590,10,Великобритания,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1880,1594,1605,Euro 6,5 / 5,EuroNCAP
Jaguar ,XF ,II 2015 – н.в. ,Седан ,2016,2 198 000 ₽,77800,белый,179,1457,87.5 × 83.1,4954,дисковые вентилируемые,E,116,4,5,8,4,2960,автомат,автомат,240 / 177 при 5500,248,340 при 1750 – 4000,АИ-95,240 л.с.,2.0 л,505,1999,55,дисковые вентилируемые,2210,задний,7 с,7,245/45/R18,"переднее, продольное",рядное,7.5 л,10.5/5.8/7.5,непосредственный впрыск (прямой),1590,10,Великобритания,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1880,1594,1605,Euro 6,5 / 5,EuroNCAP
Jaguar ,XF ,II 2015 – н.в. ,Седан ,2016,1 945 000 ₽,60447,белый,179,1457,87.5 × 83.1,4954,дисковые вентилируемые,E,116,4,5,8,4,2960,автомат,автомат,240 / 177 при 5500,248,340 при 1750 – 4000,АИ-95,240 л.с.,2.0 л,505,1999,55,дисковые вентилируемые,2210,задний,7 с,7,245/45/R18,"переднее, продольное",рядное,7.5 л,10.5/5.8/7.5,непосредственный впрыск (прямой),1590,10,Великобритания,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1880,1594,1605,Euro 6,5 / 5,EuroNCAP
Jaguar ,XF ,II 2015 – н.в. ,Седан ,2017,1 769 000 ₽,106970,белый,114,1457,83 × 92.35,4954,дисковые вентилируемые,E,116,4,5,8,4,2960,автомат,автомат,180 / 132 при 4000,229,430 при 1750 – 2500,ДТ,180 л.с.,2.0 л,505,1999,55,дисковые вентилируемые,2250,задний,8.1 с,8.1,245/45/R18,"переднее, продольное",рядное,4.3 л,5.2/3.8/4.3,nan,1595,15.5,Великобритания,дизель,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,ДТ,4,1880,1594,1605,Euro 6,5 / 5,EuroNCAP
Jaguar ,XF ,II 2015 – н.в. ,Седан ,2017,2 417 000 ₽,33451,серый,159,1457,83 × 92.4,4954,дисковые вентилируемые,E,116,4,5,8,4,2960,автомат,автомат,250 / 184 при 5500,237,365 при 1200 – 4500,АИ-95,250 л.с.,2.0 л,505,1997,55,дисковые вентилируемые,2310,полный,6.6 с,6.6,245/45/R18,"переднее, продольное",рядное,6.9 л,8.7/6/6.9,непосредственный впрыск (прямой),1685,10.5,Великобритания,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-95,4,1880,1594,1605,Euro 6,5 / 5,EuroNCAP
