mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Москвич ,2141 ,1986 – 1998 ,Хэтчбек 5 дв. ,1998,44 000 ₽,169963,фиолетовый,nan,1400,79 × 80,4350,барабанные,D,140,5,5,5,4,2580,механика,механика,76 / 56 при 5400,158,121 при 3400,АИ-95,76 л.с.,1.6 л,370,1569,55,дисковые,1455,передний,15 с,15,165/80/R14,"переднее, продольное",рядное,7.9 л,nan,карбюратор,1055,8.5,Россия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1690,1420,1440,nan,nan,nan
Москвич ,2141 ,1986 – 1998 ,Хэтчбек 5 дв. ,1998,60 000 ₽,71000,фиолетовый,nan,1400,79 × 80,4350,барабанные,D,140,5,5,5,4,2580,механика,механика,76 / 56 при 5400,158,121 при 3400,АИ-95,76 л.с.,1.6 л,370,1569,55,дисковые,1455,передний,15 с,15,165/80/R14,"переднее, продольное",рядное,7.9 л,nan,карбюратор,1055,8.5,Россия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1690,1420,1440,nan,nan,nan
Москвич ,2141 ,1986 – 1998 ,Хэтчбек 5 дв. ,1995,900 000 ₽,99000,синий,nan,1400,79 × 80,4350,барабанные,D,140,5,5,5,4,2580,механика,механика,76 / 56 при 5400,158,121 при 3400,АИ-95,76 л.с.,1.6 л,370,1569,55,дисковые,1455,передний,15 с,15,165/80/R14,"переднее, продольное",рядное,7.9 л,nan,карбюратор,1055,8.5,Россия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1690,1420,1440,nan,nan,nan
Москвич ,2141 ,1986 – 1998 ,Хэтчбек 5 дв. ,1998,85 000 ₽,183000,зелёный,nan,1400,79 × 80,4350,барабанные,D,140,5,5,5,4,2580,механика,механика,76 / 56 при 5400,158,121 при 3400,АИ-95,76 л.с.,1.6 л,370,1569,55,дисковые,1455,передний,15 с,15,165/80/R14,"переднее, продольное",рядное,7.9 л,nan,карбюратор,1055,8.5,Россия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1690,1420,1440,nan,nan,nan
Москвич ,2141 ,1986 – 1998 ,Хэтчбек 5 дв. ,1998,250 000 ₽,30198,фиолетовый,nan,1400,79 × 80,4350,барабанные,D,140,5,5,5,4,2580,механика,механика,76 / 56 при 5400,158,121 при 3400,АИ-95,76 л.с.,1.6 л,370,1569,55,дисковые,1455,передний,15 с,15,165/80/R14,"переднее, продольное",рядное,7.9 л,nan,карбюратор,1055,8.5,Россия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1690,1420,1440,nan,nan,nan
Москвич ,2141 ,1986 – 1998 ,Хэтчбек 5 дв. ,1988,220 000 ₽,75000,жёлтый,nan,1400,79 × 80,4350,барабанные,D,140,5,5,5,4,2580,механика,механика,76 / 56 при 5400,158,121 при 3400,АИ-95,76 л.с.,1.6 л,370,1569,55,дисковые,1455,передний,16.7 с,16.7,165/80/R14,"переднее, продольное",рядное,7.9 л,nan,карбюратор,1055,8.5,Россия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1690,1420,1440,nan,nan,nan
Москвич ,2141 ,1986 – 1998 ,Хэтчбек 5 дв. ,1997,235 000 ₽,4000,серый,nan,1400,82 × 70,4350,барабанные,D,140,5,5,5,4,2580,механика,механика,72 / 53 при 5400,150,106 при 3200,АИ-92,72 л.с.,1.5 л,370,1478,55,дисковые,1465,передний,18 с,18,165/80/R14,"переднее, продольное",рядное,8 л,nan,карбюратор,1065,9.5,Россия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-92,2,1690,1420,1440,nan,nan,nan
Москвич ,2141 ,1986 – 1998 ,Хэтчбек 5 дв. ,1994,150 000 ₽,60000,синий,nan,1400,85 × 80,4350,барабанные,D,140,5,5,5,4,2580,механика,механика,90 / 66 при 5300,160,145 при 3200,АИ-92,90 л.с.,1.8 л,370,1815,55,дисковые,1475,передний,17 с,17,165/80/R14,"переднее, продольное",рядное,nan,nan,карбюратор,1075,8.5,Россия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-92,2,1690,1420,1440,nan,nan,nan
Москвич ,2141 ,1986 – 1998 ,Хэтчбек 5 дв. ,1991,150 000 ₽,16000,белый,nan,1400,82 × 70,4350,барабанные,D,140,5,5,5,4,2580,механика,механика,72 / 53 при 5400,150,106 при 3200,АИ-92,72 л.с.,1.5 л,370,1478,55,дисковые,1465,передний,18 с,18,165/80/R14,"переднее, продольное",рядное,8 л,nan,карбюратор,1065,9.5,Россия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-92,2,1690,1420,1440,nan,nan,nan
Москвич ,2141 ,1986 – 1998 ,Хэтчбек 5 дв. ,1998,70 000 ₽,67000,синий,nan,1400,79 × 80,4350,барабанные,D,140,5,5,5,4,2580,механика,механика,76 / 56 при 5400,158,121 при 3400,АИ-95,76 л.с.,1.6 л,370,1569,55,дисковые,1455,передний,15 с,15,165/80/R14,"переднее, продольное",рядное,7.9 л,nan,карбюратор,1055,8.5,Россия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1690,1420,1440,nan,nan,nan
