mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Mercedes-Benz ,E-Класс ,"IV (W212, S212, C207) 2009 – 2013 ",Универсал 5 дв. ,2012,1 495 000 ₽,50850,коричневый,163,1512,82 × 85,4895,дисковые,E,160,5,5,7,4,2874,автомат,автомат,184 / 135 при 5250,224,270 при 1800 – 4600,АИ-95,184 л.с.,1.8 л,695/1220,1796,80,дисковые вентилируемые,2335,задний,8.5 с,8.5,225/55/R16,"переднее, продольное",рядное,7 л,9.1/5.7/7,непосредственный впрыск (прямой),1735,9.3,Германия,бензин,"независимая, пневмоэлемент",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1854,1604,1585,Euro 5,nan,nan
Mercedes-Benz ,E-Класс ,"IV (W212, S212, C207) 2009 – 2013 ",Универсал 5 дв. ,2012,1 150 000 ₽,127000,чёрный,163,1512,82 × 85,4895,дисковые,E,160,5,5,7,4,2874,автомат,автомат,184 / 135 при 5250,224,270 при 1800 – 4600,АИ-95,184 л.с.,1.8 л,695/1220,1796,80,дисковые вентилируемые,2335,задний,8.5 с,8.5,225/55/R16,"переднее, продольное",рядное,7 л,9.1/5.7/7,непосредственный впрыск (прямой),1735,9.3,Германия,бензин,"независимая, пневмоэлемент",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1854,1604,1585,Euro 5,nan,nan
Mercedes-Benz ,E-Класс ,"IV (W212, S212, C207) 2009 – 2013 ",Универсал 5 дв. ,2010,890 000 ₽,135000,чёрный,163,1512,82 × 85,4895,дисковые,E,160,5,5,7,4,2874,автомат,автомат,184 / 135 при 5250,224,270 при 1800 – 4600,АИ-95,184 л.с.,1.8 л,695/1220,1796,80,дисковые вентилируемые,2335,задний,8.5 с,8.5,225/55/R16,"переднее, продольное",рядное,7 л,9.1/5.7/7,непосредственный впрыск (прямой),1735,9.3,Германия,бензин,"независимая, пневмоэлемент",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1854,1604,1585,Euro 5,nan,nan
Mercedes-Benz ,E-Класс ,"IV (W212, S212, C207) 2009 – 2013 ",Универсал 5 дв. ,2010,950 000 ₽,189000,белый,163,1512,82 × 85,4895,дисковые,E,160,5,5,7,4,2874,автомат,автомат,184 / 135 при 5250,224,270 при 1800 – 4600,АИ-95,184 л.с.,1.8 л,695/1220,1796,80,дисковые вентилируемые,2335,задний,8.5 с,8.5,225/55/R16,"переднее, продольное",рядное,7 л,9.1/5.7/7,непосредственный впрыск (прямой),1735,9.3,Германия,бензин,"независимая, пневмоэлемент",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1854,1604,1585,Euro 5,nan,nan
Mercedes-Benz ,E-Класс ,"IV (W212, S212, C207) 2009 – 2013 ",Универсал 5 дв. ,2011,1 600 000 ₽,84000,чёрный,163,1512,82 × 85,4895,дисковые,E,160,5,5,7,4,2874,автомат,автомат,184 / 135 при 5250,224,270 при 1800 – 4600,АИ-95,184 л.с.,1.8 л,695/1220,1796,80,дисковые вентилируемые,2335,задний,8.5 с,8.5,225/55/R16,"переднее, продольное",рядное,7 л,9.1/5.7/7,непосредственный впрыск (прямой),1735,9.3,Германия,бензин,"независимая, пневмоэлемент",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1854,1604,1585,Euro 5,nan,nan
Mercedes-Benz ,E-Класс ,"IV (W212, S212, C207) 2009 – 2013 ",Универсал 5 дв. ,2010,1 050 000 ₽,145000,чёрный,140,1512,82 × 85,4895,дисковые,E,160,5,5,5,4,2874,автомат,автомат,184 / 135 при 5250,222,270 при 1800 – 4600,АИ-95,184 л.с.,1.8 л,695/1220,1796,80,дисковые вентилируемые,2310,задний,8.8 с,8.8,225/55/R16,"переднее, поперечное",рядное,7.9 л,10.5/6.3/7.9,распределенный впрыск (многоточечный),1735,9.3,Германия,бензин,"независимая, пневмоэлемент",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1854,1604,1585,Euro 5,nan,nan
Mercedes-Benz ,E-Класс ,"IV (W212, S212, C207) 2009 – 2013 ",Универсал 5 дв. ,2010,1 480 000 ₽,205500,серый,161,1512,83 × 99,4895,дисковые,E,160,5,5,7,4,2874,автомат,автомат,204 / 150 при 4200,230,500 при 1600 – 1800,ДТ,204 л.с.,2.1 л,695/1220,2143,80,дисковые вентилируемые,2535,полный,8.1 с,8.1,245/45/R17,"переднее, продольное",рядное,6.1 л,7.4/5.3/6.1,nan,1940,16.2,Германия,дизель,"независимая, пневмоэлемент",турбонаддув,"независимая, пружинная",полный,ДТ,4,1854,1604,1585,Euro 5,nan,nan
Ford ,Econoline ,IV 1992 – 2013 ,Минивэн ,2007,1 070 000 ₽,373174,белый,nan,2050,90.2 × 105.7,5382,дисковые,M,nan,4,"7, 9",4,8,3505,автомат,автомат,260 / 191 при 4500,160,474 при 2500,АИ-92,260 л.с.,5.4 л,-,5398,132,дисковые,3175,задний,nan,nan,235/75/R15,nan,V-образное,nan,nan,распределенный впрыск (многоточечный),nan,9,США,бензин,"зависимая, рессорная",нет,"независимая, пружинная",задний,АИ-92,2,2014,1702,1763,nan,nan,nan
Ford ,Econoline ,IV 1992 – 2013 ,Минивэн ,1995,500 000 ₽,184000,красный,nan,2050,101.6 × 88.9,5382,дисковые,M,nan,4,"7, 9",4,8,3505,автомат,автомат,214 / 157 при 3800,nan,428 при 2800,АИ-95,214 л.с.,5.8 л,-,5766,132,дисковые,3280,задний,nan,nan,235/75/R15,"переднее, продольное",V-образное,nan,nan,распределенный впрыск (многоточечный),nan,nan,США,бензин,"зависимая, рессорная",нет,"независимая, пружинная",задний,АИ-95,2,2014,1702,1763,nan,nan,nan
Ford ,Econoline ,IV 1992 – 2013 ,Минивэн ,1995,450 000 ₽,150000,белый,nan,2050,90.2 × 105.7,5382,дисковые,M,nan,4,"7, 9",4,8,3505,автомат,автомат,238 / 175 при 4250,160,454 при 3000,АИ-95,238 л.с.,5.4 л,-,5398,132,дисковые,3280,задний,nan,nan,235/75/R15,nan,V-образное,nan,nan,распределенный впрыск (многоточечный),nan,9,США,бензин,"зависимая, рессорная",нет,"независимая, пружинная",задний,АИ-95,2,2014,1702,1763,nan,nan,nan
