mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Audi ,S8 ,III (D4) Рестайлинг 2013 – 2017 ,Седан ,2016,5 300 000 ₽,40000,чёрный,229,1458,84.5 × 89,5147,дисковые вентилируемые,F,140,4,5,8,8,2994,автомат,автомат,605 / 445 при 6100 – 6800,250,700 при 1750 – 6000,АИ-95,605 л.с.,4.0 л,520,3993,82,дисковые вентилируемые,2590,полный,3.8 с,3.8,265/40/R20  275/35/R21,"переднее, продольное",V-образное,9.9 л,13.8/7.7/9.9,непосредственный впрыск (прямой),1990,9.3,Германия,бензин,"независимая, пневмоэлемент",турбонаддув,"независимая, пневмоэлемент",полный,АИ-95,4,1949,1623,1632,Euro 6,nan,nan
Audi ,S8 ,III (D4) Рестайлинг 2013 – 2017 ,Седан ,2016,5 250 000 ₽,46842,синий,229,1458,84.5 × 89,5147,дисковые вентилируемые,F,140,4,5,8,8,2994,автомат,автомат,605 / 445 при 6100 – 6800,250,700 при 1750 – 6000,АИ-95,605 л.с.,4.0 л,520,3993,82,дисковые вентилируемые,2590,полный,3.8 с,3.8,265/40/R20  275/35/R21,"переднее, продольное",V-образное,9.9 л,13.8/7.7/9.9,непосредственный впрыск (прямой),1990,9.3,Германия,бензин,"независимая, пневмоэлемент",турбонаддув,"независимая, пневмоэлемент",полный,АИ-95,4,1949,1623,1632,Euro 6,nan,nan
Audi ,S8 ,III (D4) Рестайлинг 2013 – 2017 ,Седан ,2015,2 800 000 ₽,93000,серый,225,1458,84.5 × 89,5147,дисковые вентилируемые,F,140,4,5,8,8,2994,автомат,автомат,520 / 382 при 5800,250,650 при 1700 – 5500,АИ-95,520 л.с.,4.0 л,520,3993,82,дисковые вентилируемые,2590,полный,4.1 с,4.1,265/40/R20,"переднее, продольное",V-образное,9.6 л,13.6/7.3/9.6,непосредственный впрыск (прямой),1990,9.3,Германия,бензин,"независимая, пневмоэлемент",турбонаддув,"независимая, пневмоэлемент",полный,АИ-95,4,1949,1623,1632,Euro 6,nan,nan
Bentley ,Arnage ,I 1998 – 2002 ,Седан ,2001,2 200 000 ₽,59000,серый,nan,1520,-,5390,дисковые,F,nan,4,5,4,8,3115,автомат,автомат,405 / 298 при 4000,249,835 при 2150,nan,405 л.с.,6.8 л,375,6750,94,дисковые вентилируемые,2970,задний,6.3 с,6.3,255/50/R18,"переднее, продольное",V-образное,19.2 л,27.7/14.3/19.2,распределенный впрыск (многоточечный),2520,8,Великобритания,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,nan,2,1930,1610,1610,nan,nan,nan
Bentley ,Arnage ,I 1998 – 2002 ,Седан ,1998,4 000 000 ₽,111300,зелёный,nan,1520,92 × 82.7,5390,дисковые вентилируемые,F,140,4,5,5,8,3115,автомат,автомат,354 / 260 при 5500,240,570 при 2500,АИ-98,354 л.с.,4.4 л,375,4398,94,дисковые вентилируемые,2750,задний,6.6 с,6.6,255/55/R17,"переднее, продольное",V-образное,16.9 л,23.4/13.1/16.9,распределенный впрыск (многоточечный),2300,8.5,Великобритания,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,АИ-98,4,1930,1610,1610,nan,nan,nan
Fiat ,Punto ,III Grande Punto 2005 – 2010 ,Хэтчбек 3 дв. ,2008,309 000 ₽,178348,красный,nan,1490,72 × 84,4030,барабанные,B,150,3,5,5,4,2510,робот,робот,77 / 57 при 6000,165,115 при 3000,АИ-95,77 л.с.,1.4 л,275/1030,1368,45,дисковые,1600,передний,13.2 с,13.2,175/65/R15,"переднее, поперечное",рядное,6.1 л,7.7/5.2/6.1,распределенный впрыск (многоточечный),1040,11,Италия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1687,1466,1473,nan,5 / 5,EuroNCAP
Fiat ,Punto ,III Grande Punto 2005 – 2010 ,Хэтчбек 3 дв. ,2008,250 000 ₽,150000,чёрный,nan,1490,72 × 84,4030,барабанные,B,150,3,5,5,4,2510,механика,механика,77 / 57 при 6000,165,115 при 3000,АИ-95,77 л.с.,1.4 л,275/1030,1368,45,дисковые,1600,передний,13.2 с,13.2,175/65/R15,"переднее, поперечное",рядное,6.1 л,7.7/5.2/6.1,распределенный впрыск (многоточечный),1040,11,Италия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1687,1466,1473,nan,5 / 5,EuroNCAP
Fiat ,Punto ,III Grande Punto 2005 – 2010 ,Хэтчбек 3 дв. ,2008,155 000 ₽,121000,чёрный,nan,1490,72 × 84,4030,барабанные,B,150,3,5,5,4,2510,робот,робот,77 / 57 при 6000,165,115 при 3000,АИ-95,77 л.с.,1.4 л,275/1030,1368,45,дисковые,1600,передний,13.2 с,13.2,175/65/R15,"переднее, поперечное",рядное,6.1 л,7.7/5.2/6.1,распределенный впрыск (многоточечный),1040,11,Италия,бензин,"полунезависимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1687,1466,1473,nan,5 / 5,EuroNCAP
Mercedes-Benz ,SL-Класс ,V (R230) Рестайлинг 2 2008 – 2011 ,Родстер ,2008,2 000 000 ₽,56000,белый,nan,1317,98 × 90.5,4532,дисковые вентилируемые,S,150,2,2,7,8,2560,автомат,автомат,388 / 285 при 6000,250,530 при 2800 – 4800,АИ-95,388 л.с.,5.5 л,235/339,5461,80,дисковые вентилируемые,2205,задний,5.4 с,5.4,255/40/R18,nan,V-образное,11.9 л,18.1/8.3/11.9,распределенный впрыск (многоточечный),1910,10.7,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1820,1547,1559,Euro 4,nan,nan
Mercedes-Benz ,SL-Класс ,V (R230) Рестайлинг 2 2008 – 2011 ,Родстер ,2008,1 699 000 ₽,97011,белый,nan,1317,92.9 × 86,4532,дисковые вентилируемые,S,150,2,2,7,6,2560,автомат,автомат,316 / 232 при 6500,250,360 при 4900,АИ-95,316 л.с.,3.5 л,235/339,3498,80,дисковые вентилируемые,2120,задний,6.2 с,6.2,255/45/R17,"переднее, продольное",V-образное,9.9 л,14.3/7.4/9.9,распределенный впрыск (многоточечный),1825,10.5,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1820,1547,1559,nan,nan,nan
