mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Audi ,S8 ,III (D4) 2012 – 2013 ,Седан ,2013,3 101 000 ₽,129197,бежевый,237,1458,84.5 × 89,5146,дисковые вентилируемые,F,120,4,5,8,8,2994,автомат,автомат,520 / 382 при 6000,250,650 при 1700 – 5500,АИ-95,520 л.с.,4.0 л,510,3993,90,дисковые вентилируемые,2575,полный,4.2 с,4.2,265/40/R20,"переднее, продольное",V-образное,10.1 л,14.4/7.6/10.1,непосредственный впрыск (прямой),1975,9.3,Германия,бензин,"независимая, пневмоэлемент",турбонаддув,"независимая, пневмоэлемент",полный,АИ-95,4,1949,1632,1632,Euro 5,nan,nan
Audi ,S8 ,III (D4) 2012 – 2013 ,Седан ,2012,2 700 000 ₽,103000,белый,237,1458,84.5 × 89,5146,дисковые вентилируемые,F,120,4,5,8,8,2994,автомат,автомат,520 / 382 при 6000,250,650 при 1700 – 5500,АИ-95,520 л.с.,4.0 л,510,3993,90,дисковые вентилируемые,2575,полный,4.2 с,4.2,265/40/R20,"переднее, продольное",V-образное,10.1 л,14.4/7.6/10.1,непосредственный впрыск (прямой),1975,9.3,Германия,бензин,"независимая, пневмоэлемент",турбонаддув,"независимая, пневмоэлемент",полный,АИ-95,4,1949,1632,1632,Euro 5,nan,nan
Nissan ,Skyline ,VIII (R32) 1989 – 1994 ,Седан ,1989,245 000 ₽,500000,серый,nan,1105,78 × 69.7,4580,дисковые вентилируемые,D,145,4,5,5,6,2615,механика,механика,215 / 158 при 6400,232,264 при 3200,АИ-95,215 л.с.,2.0 л,-,1998,60,дисковые вентилируемые,nan,задний,6.5 с,6.5,nan,"переднее, продольное",рядное,10.5 л,nan,распределенный впрыск (многоточечный),1320,8.5,Япония,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",задний,АИ-95,4,1695,1460,1460,nan,nan,nan
Nissan ,Skyline ,VIII (R32) 1989 – 1994 ,Седан ,1991,500 000 ₽,100000,чёрный,nan,1105,78 × 69.7,4580,дисковые вентилируемые,D,150,4,5,5,6,2615,механика,механика,215 / 158 при 6400,231,264 при 3200,АИ-95,215 л.с.,2.0 л,-,1998,60,дисковые вентилируемые,nan,полный,7 с,7,nan,"переднее, поперечное",рядное,12 л,nan,распределенный впрыск (многоточечный),1450,8.5,Япония,бензин,"независимая, пружинная",турбонаддув,"независимая, пружинная",полный,АИ-95,4,1695,1460,1460,nan,nan,nan
Lincoln ,Town Car ,I 1980 – 1989 ,Седан ,1986,2 200 000 ₽,35000,голубой,nan,1420,101.6 × 76.2,5568,дисковые вентилируемые,F,155,4,6,4,8,2979,автомат,автомат,225 / 165 при 4000,nan,407 при 3000,АИ-92,225 л.с.,5.0 л,-,4949,nan,дисковые вентилируемые,nan,задний,nan,nan,nan,"переднее, продольное",V-образное,nan,nan,распределенный впрыск (многоточечный),nan,9,США,бензин,"зависимая, пружинная",нет,"независимая, пружинная",задний,АИ-92,2,1984,1633,1633,nan,nan,nan
Lincoln ,Town Car ,I 1980 – 1989 ,Седан ,1989,449 000 ₽,101000,розовый,nan,1420,101.6 × 76.2,5568,дисковые вентилируемые,F,155,4,6,4,8,2979,автомат,автомат,225 / 165 при 4000,nan,407 при 3000,АИ-92,225 л.с.,5.0 л,-,4949,nan,дисковые вентилируемые,nan,задний,nan,nan,nan,"переднее, продольное",V-образное,nan,nan,распределенный впрыск (многоточечный),nan,9,США,бензин,"зависимая, пружинная",нет,"независимая, пружинная",задний,АИ-92,2,1984,1633,1633,nan,nan,nan
Hyundai ,H-1 ,I Рестайлинг 2004 – 2007 ,Минивэн ,2007,800 000 ₽,220000,белый,nan,1880,91 × 96,4695,барабанные,nan,190,5,8,4,4,2810,автомат,автомат,140 / 103 при 3800,161,314 при 2000,ДТ,140 л.с.,2.5 л,364/3295,2497,65,дисковые вентилируемые,2800,задний,12.8 с,12.8,195/70/R14,"переднее, продольное",рядное,8.7 л,11.5/7.4/8.7,nan,1910,17.6,Южная Корея,дизель,"зависимая, рессорная",турбонаддув,"независимая, пружинная",задний,ДТ,4,1820,1545,1570,nan,nan,nan
Hyundai ,H-1 ,I Рестайлинг 2004 – 2007 ,Минивэн ,2005,440 000 ₽,273000,серебристый,nan,1880,91.1 × 95,4695,барабанные,nan,180,5,8,5,4,2810,механика,механика,99 / 73 при 3800,148,225 при 2000,ДТ,99 л.с.,2.5 л,364/3295,2476,65,дисковые вентилируемые,2550,задний,nan,nan,nan,"переднее, продольное",рядное,9.6 л,nan,nan,1922,21,Южная Корея,дизель,"зависимая, рессорная",турбонаддув,"независимая, пружинная",задний,ДТ,2,1820,1545,1570,nan,nan,nan
Hyundai ,H-1 ,I Рестайлинг 2004 – 2007 ,Минивэн ,2007,370 000 ₽,271000,серый,nan,1880,-,4695,дисковые,nan,190,5,8,5,4,2810,механика,механика,135 / 99 при 4800,155,nan,АИ-95,135 л.с.,2.5 л,364/3295,2476,65,дисковые вентилируемые,2950,задний,nan,nan,nan,"переднее, продольное",рядное,nan,nan,распределенный впрыск (многоточечный),1840,8.6,Южная Корея,бензин,"зависимая, рессорная",нет,"независимая, пружинная",задний,АИ-95,4,1820,1545,1570,nan,nan,nan
Hyundai ,H-1 ,I Рестайлинг 2004 – 2007 ,Минивэн ,2007,495 000 ₽,130000,серый,nan,1880,91 × 96,4695,барабанные,nan,190,5,8,4,4,2810,автомат,автомат,140 / 103 при 3800,161,314 при 2000,ДТ,140 л.с.,2.5 л,364/3295,2497,65,дисковые вентилируемые,2800,задний,12.8 с,12.8,195/70/R14,"переднее, продольное",рядное,8.7 л,11.5/7.4/8.7,nan,1910,17.6,Южная Корея,дизель,"зависимая, рессорная",турбонаддув,"независимая, пружинная",задний,ДТ,4,1820,1545,1570,nan,nan,nan
