mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Honda ,HR-V ,I Рестайлинг 2001 – 2006 ,Внедорожник 5 дв. ,2004,330 000 ₽,184000,красный,nan,1580,75 × 90,4095,барабанные,J,190,5,5,nan,4,2450,вариатор,вариатор,105 / 77 при 6200,162,135 при 3500,АИ-95,105 л.с.,1.6 л,285/1050,1590,55,дисковые вентилируемые,1580,полный,12.7 с,12.7,195/70/R15  205/60/R16,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),1257,9.1,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1695,1455,1470,nan,nan,nan
Honda ,HR-V ,I Рестайлинг 2001 – 2006 ,Внедорожник 5 дв. ,2005,419 000 ₽,141183,чёрный,nan,1580,75 × 90,4095,барабанные,J,190,5,5,nan,4,2450,вариатор,вариатор,105 / 77 при 6200,162,135 при 3500,АИ-95,105 л.с.,1.6 л,285/1050,1590,55,дисковые вентилируемые,1580,полный,12.7 с,12.7,195/70/R15  205/60/R16,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),1257,9.1,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1695,1455,1470,nan,nan,nan
Honda ,HR-V ,I Рестайлинг 2001 – 2006 ,Внедорожник 5 дв. ,2004,410 000 ₽,215000,серый,nan,1580,75 × 90,4095,барабанные,J,190,5,5,nan,4,2450,вариатор,вариатор,105 / 77 при 6200,162,135 при 3500,АИ-95,105 л.с.,1.6 л,285/1050,1590,55,дисковые вентилируемые,1580,полный,12.7 с,12.7,195/70/R15  205/60/R16,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),1257,9.1,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1695,1455,1470,nan,nan,nan
Honda ,HR-V ,I Рестайлинг 2001 – 2006 ,Внедорожник 5 дв. ,2004,350 000 ₽,266000,серый,nan,1580,75 × 90,4095,барабанные,J,190,5,5,nan,4,2450,вариатор,вариатор,105 / 77 при 6200,162,135 при 3500,АИ-95,105 л.с.,1.6 л,285/1050,1590,55,дисковые вентилируемые,1580,полный,12.7 с,12.7,195/70/R15  205/60/R16,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),1257,9.1,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1695,1455,1470,nan,nan,nan
Honda ,HR-V ,I Рестайлинг 2001 – 2006 ,Внедорожник 5 дв. ,2005,391 000 ₽,215000,серебристый,nan,1580,75 × 90,4095,барабанные,J,190,5,5,nan,4,2450,вариатор,вариатор,105 / 77 при 6200,162,135 при 3500,АИ-95,105 л.с.,1.6 л,285/1050,1590,55,дисковые вентилируемые,1580,полный,12.7 с,12.7,195/70/R15  205/60/R16,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),1257,9.1,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1695,1455,1470,nan,nan,nan
Honda ,HR-V ,I Рестайлинг 2001 – 2006 ,Внедорожник 5 дв. ,2002,350 000 ₽,210000,голубой,nan,1580,75 × 90,4095,барабанные,J,190,5,5,nan,4,2450,вариатор,вариатор,105 / 77 при 6200,162,135 при 3500,АИ-95,105 л.с.,1.6 л,285/1050,1590,55,дисковые вентилируемые,1580,полный,12.7 с,12.7,195/70/R15  205/60/R16,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),1257,9.1,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1695,1455,1470,nan,nan,nan
Honda ,HR-V ,I Рестайлинг 2001 – 2006 ,Внедорожник 5 дв. ,2001,260 000 ₽,251000,серебристый,nan,1580,75 × 90,4095,барабанные,J,190,5,5,5,4,2450,механика,механика,105 / 77 при 6200,165,135 при 3500,АИ-95,105 л.с.,1.6 л,285/1050,1590,55,дисковые вентилируемые,1580,передний,11.7 с,11.7,195/70/R15  205/60/R16,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),1257,9.1,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,4,1695,1455,1470,nan,nan,nan
Honda ,HR-V ,I Рестайлинг 2001 – 2006 ,Внедорожник 5 дв. ,2002,350 000 ₽,255176,серебристый,nan,1580,-,4095,барабанные,J,190,5,5,5,4,2450,механика,механика,124 / 91 при 6600,170,144 при 4900,АИ-95,124 л.с.,1.6 л,285/1050,1590,55,дисковые вентилируемые,1640,полный,11.3 с,11.3,195/70/R15  205/60/R16,"переднее, поперечное",рядное,8.6 л,10.4/7.6/8.6,распределенный впрыск (многоточечный),1317,nan,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1695,1455,1470,nan,nan,nan
Honda ,HR-V ,I Рестайлинг 2001 – 2006 ,Внедорожник 5 дв. ,2005,450 000 ₽,265000,синий,nan,1580,75 × 90,4095,барабанные,J,190,5,5,nan,4,2450,вариатор,вариатор,105 / 77 при 6200,162,135 при 3500,АИ-95,105 л.с.,1.6 л,285/1050,1590,55,дисковые вентилируемые,1580,полный,12.7 с,12.7,195/70/R15  205/60/R16,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),1257,9.1,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1695,1455,1470,nan,nan,nan
Honda ,HR-V ,I Рестайлинг 2001 – 2006 ,Внедорожник 5 дв. ,2005,450 000 ₽,200000,голубой,nan,1580,75 × 90,4095,барабанные,J,190,5,5,nan,4,2450,вариатор,вариатор,105 / 77 при 6200,162,135 при 3500,АИ-95,105 л.с.,1.6 л,285/1050,1590,55,дисковые вентилируемые,1580,полный,12.7 с,12.7,195/70/R15  205/60/R16,"переднее, поперечное",рядное,nan,nan,распределенный впрыск (многоточечный),1257,9.1,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",полный,АИ-95,4,1695,1455,1470,nan,nan,nan
