mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Maserati ,Quattroporte ,V Рестайлинг 2008 – 2012 ,Седан ,2011,2 200 000 ₽,49789,синий,365,1438,92 × 79.8,5097,дисковые вентилируемые,F,120,4,5,6,8,3064,автомат,автомат,430 / 316 при 7000,280,490 при 4750,АИ-95,430 л.с.,4.7 л,450,4691,90,дисковые вентилируемые,2365,задний,5.4 с,5.4,245/45/R18  285/40/R18,"переднее, продольное",V-образное,15.7 л,23.9/10.9/15.7,распределенный впрыск (многоточечный),1990,11,Италия,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1895,1595,1582,nan,nan,nan
Maserati ,Quattroporte ,V Рестайлинг 2008 – 2012 ,Седан ,2008,2 150 000 ₽,85000,белый,365,1438,92 × 79.8,5097,дисковые вентилируемые,F,120,4,5,6,8,3064,автомат,автомат,430 / 316 при 7000,280,490 при 4750,АИ-95,430 л.с.,4.7 л,450,4691,90,дисковые вентилируемые,2365,задний,5.4 с,5.4,245/45/R18  285/40/R18,"переднее, продольное",V-образное,15.7 л,23.9/10.9/15.7,распределенный впрыск (многоточечный),1990,11,Италия,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1895,1595,1582,nan,nan,nan
Mazda ,RX-8 ,I 2003 – 2008 ,Купе ,2004,335 000 ₽,90000,зелёный,284,1340,-,4430,дисковые вентилируемые,D,140,2,4,6,1,2700,механика,механика,231 / 170 при 8200,235,211 при 5500,АИ-95,231 л.с.,1.3 л,290,1308,61,дисковые вентилируемые,1825,задний,6.4 с,6.4,225/45/R18,"переднее, продольное",ротор,11.4 л,15.8/8.9/11.4,распределенный впрыск (многоточечный),1425,10,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1770,1505,1500,Euro 4,nan,nan
Mazda ,RX-8 ,I 2003 – 2008 ,Купе ,2003,270 000 ₽,99999,зелёный,284,1340,-,4430,дисковые вентилируемые,D,140,2,4,4,1,2700,автомат,автомат,231 / 170 при 8200,235,211 при 5500,АИ-98,231 л.с.,1.3 л,290,1308,61,дисковые вентилируемые,1815,задний,6.4 с,6.4,225/45/R18,"переднее, продольное",ротор,11.4 л,15.8/8.9/11.4,распределенный впрыск (многоточечный),1315,10,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-98,4,1770,1505,1500,Euro 3,nan,nan
Mazda ,RX-8 ,I 2003 – 2008 ,Купе ,2005,450 000 ₽,115000,чёрный,nan,1340,-,4430,дисковые,D,135,2,4,4,1,2700,автомат,автомат,192 / 141 при 7000,nan,216 при 2500,АИ-95,192 л.с.,1.3 л,290,1308,61,дисковые вентилируемые,1728,задний,nan,nan,225/55/R16,"переднее, продольное",ротор,nan,nan,распределенный впрыск (многоточечный),1330,10,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,nan,1770,1505,1500,nan,nan,nan
Mazda ,RX-8 ,I 2003 – 2008 ,Купе ,2003,490 000 ₽,127000,синий,nan,1340,-,4430,дисковые вентилируемые,D,135,2,4,6,2,2700,механика,механика,250 / 184 при 8500,250,216 при 5500,АИ-95,250 л.с.,1.3 л,290,1308,61,дисковые вентилируемые,1700,задний,6.2 с,6.2,nan,"переднее, продольное",ротор,10.6 л,nan,распределенный впрыск (многоточечный),1310,10,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1770,1505,1500,nan,nan,nan
Mazda ,RX-8 ,I 2003 – 2008 ,Купе ,2003,350 000 ₽,132000,серый,nan,1340,-,4430,дисковые вентилируемые,D,135,2,4,4,2,2700,автомат,автомат,210 / 154 при 7200,226,222 при 5000,АИ-95,210 л.с.,1.3 л,290,1308,61,дисковые вентилируемые,1700,задний,7.9 с,7.9,nan,"переднее, продольное",ротор,11.1 л,nan,распределенный впрыск (многоточечный),1330,10,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1770,1505,1500,nan,nan,nan
Mazda ,RX-8 ,I 2003 – 2008 ,Купе ,2003,670 000 ₽,44250,белый,nan,1340,-,4430,дисковые вентилируемые,D,135,2,4,4,2,2700,автомат,автомат,210 / 154 при 7200,226,222 при 5000,АИ-95,210 л.с.,1.3 л,290,1308,61,дисковые вентилируемые,1700,задний,7.9 с,7.9,nan,"переднее, продольное",ротор,11.1 л,nan,распределенный впрыск (многоточечный),1330,10,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1770,1505,1500,nan,nan,nan
Mazda ,RX-8 ,I 2003 – 2008 ,Купе ,2004,800 000 ₽,85000,серый,284,1340,-,4430,дисковые вентилируемые,D,140,2,4,6,1,2700,механика,механика,231 / 170 при 8200,235,211 при 5500,АИ-95,231 л.с.,1.3 л,290,1308,61,дисковые вентилируемые,1825,задний,6.4 с,6.4,225/45/R18,"переднее, продольное",ротор,11.4 л,15.8/8.9/11.4,распределенный впрыск (многоточечный),1425,10,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,4,1770,1505,1500,Euro 4,nan,nan
Mazda ,RX-8 ,I 2003 – 2008 ,Купе ,2005,290 000 ₽,64761,фиолетовый,nan,1340,-,4430,дисковые,D,135,2,4,4,1,2700,автомат,автомат,192 / 141 при 7000,nan,216 при 2500,АИ-95,192 л.с.,1.3 л,290,1308,61,дисковые вентилируемые,1728,задний,nan,nan,225/55/R16,"переднее, продольное",ротор,nan,nan,распределенный впрыск (многоточечный),1330,10,Япония,бензин,"независимая, пружинная",нет,"независимая, пружинная",задний,АИ-95,nan,1770,1505,1500,nan,nan,nan
